,Name,Description,Brand,Price,Image
0,Bibe Medium bed for cats&nbsp;,"Bibe Medium bed for cats

It's a comfortable bed for cats that allows them also to have their own private space while sleeping and it will give you your own space too. 

Size:S || 43×36 cmM || 54×40 cmL || 65×47 cm",Pet Products,77.0,//aleef.com/cdn/shop/products/6901150460447.jpg?v=1658654164
1,"Feline Go Rectangular Bed for cats and dogs, Green","Feline Go Rectangular Bed for cats and dogs, Green

beds are designed to provide optimal support and warmth for your pets while being durable and easy to clean.
They come in various sizes, colours and shapes to suit any preference and personality.
Whether you have a tiny kitten or a large dog, you can find the perfect bed for them here.
cat and dog beds are also eco-friendly and safe for your pets.
The polyester fabric is breathable and hypoallergenic, while the silicone beads fiber is soft and resilient.
They do not contain any harmful chemicals or substances that could harm your pets or the environment.
Give your pet the ultimate comfort and relaxation with this polyester and silicone beads fiber bed.
This bed is made of high-quality polyester fabric that is soft, durable and easy to wash.
The filling is made of fluffy, supportive, resilient silicone beads fibre.
The bed has a raised rim that creates a sense of security and provides head and neck support for your pet.
The bed also has a non-slip bottom that prevents it from sliding on the floor.
This bed is suitable for cats and dogs of all sizes and breeds.
It does not contain any harmful chemicals or substances that could cause allergies or irritation.
It is also breathable and hypoallergenic, keeping your pet cool in summer and warm in winter.

Size:

Small: 60×50×19 cm
Medium: 70×60×23 cm",Feline Go,120.0,//aleef.com/cdn/shop/files/FelineGoRectangularBedforcatsanddogs_Green.jpg?v=1683544368
2,feline go cats bed small 40*50 cm,feline go cats bed small 40*50 cm It's a comfortable bed for cats that allows them also to have their own private space while sleeping and it will give you your own space too.,Feline Go,145.0,//aleef.com/cdn/shop/products/6957103122211_c0fe70d3-7a5c-43c6-8a28-cab990e17907.jpg?v=1658654145
3,"Feline Go Jellybean rectangular bed for cats and dogs, Black Colour","Feline Go Jellybean rectangular bed for cats and dogs, Black Colour

beds are designed to provide optimal support and warmth for your pets while being durable and easy to clean.
They come in various sizes, colours and shapes to suit any preference and personality.
Whether you have a tiny kitten or a large dog, you can find the perfect bed for them here.
cat and dog beds are also eco-friendly and safe for your pets.
The polyester fabric is breathable and hypoallergenic, while the silicone beads fiber is soft and resilient.
They do not contain any harmful chemicals or substances that could harm your pets or the environment.
Give your pet the ultimate comfort and relaxation with this polyester and silicone beads fiber bed.
This bed is made of high-quality polyester fabric that is soft, durable and easy to wash.
The filling is made of fluffy, supportive, resilient silicone beads fibre.
The bed has a raised rim that creates a sense of security and provides head and neck support for your pet.
The bed also has a non-slip bottom that prevents it from sliding on the floor.
This bed is suitable for cats and dogs of all sizes and breeds.
It does not contain any harmful chemicals or substances that could cause allergies or irritation.
It is also breathable and hypoallergenic, keeping your pet cool in summer and warm in winter.

Size:

Small: 60×50×19 cm
Medium: 70×60×23 cm
Large: 95×75×28 cm
X-Large: 110×80×28 cm",Feline Go,125.0,//aleef.com/cdn/shop/files/FelineGoJellybeanrectangularbedforcatsanddogs_BlackColour.jpg?v=1683961563
4,"Feline Go Brownie circular bed for cats and dogs, Black colour","Feline Go Brownie circular bed for cats and dogs, Black colour

The cozy and comfortable bed is made of soft and durable material to keep your pet warm and snug.
The circular shape provides security and allows your pet to curl up and relax.
The bed is also easy to wash and maintain, so you don’t have to worry about stains or odours.
Whether you have a small cat or a large dog, we have the perfect size for you
It is cozy and comfortable. The soft and plush material will make your pet feel like they are sleeping on a cloud. The bed will also keep your pet warm in the winter and cool in the summer.
The bed is made of high-quality material that can withstand wear and tear. The bed is easy to clean and dry, so you can keep it fresh and hygienic.
It is secure and relaxing. The circular shape will give your pet a sense of security and comfort. The bed will also allow your pet to curl up and rest in their natural position.
It is stylish and versatile. The bed comes in various colours and patterns that will match your home decor. The bed can also be used as a cushion or a mat for your pet.

Size:

Medium: 60×60×22 cm
Large: 70×70×22 cm",Feline Go,130.5,//aleef.com/cdn/shop/files/FelineGoBrowniecircularbedforcatsanddogs_Blackcolour.jpg?v=1683796954
5,"Circular bed in the shape of cat eyes, large size, multi-colored","Circular bed in the shape of cat eyes, large size, multi-colored

It's a comfortable bed for cats that allows them also to have their own private space while sleeping and it will give you your own space too.

Size:

Large, Diameter= 60 cm
Small, Diameter= 40cm

Note:

This product is sold by color availability",Feline Go,129.5,//aleef.com/cdn/shop/products/Circularbedintheshapeofcateyes_largesize_multi-colored3.jpg?v=1678863081
6,"Feline Go Brownie Rectangular Bed for Cats and Dogs, Black Colour","Feline Go Brownie Rectangular Bed for Cats and Dogs, Black Colour

The cozy and comfortable bed is made of soft and durable material to keep your pet warm and snug.
The Elliptical shape provides security and allows your pet to curl up and relax.
The bed is also easy to wash and maintain, so you don’t have to worry about stains or odours.
Whether you have a small cat or a large dog, we have the perfect size for you
It is cozy and comfortable. The soft and plush material will make your pet feel like they are sleeping on a cloud. The bed will also keep your pet warm in the winter and cool in the summer.
The bed is made of high-quality material that can withstand wear and tear. The bed is easy to clean and dry, so you can keep it fresh and hygienic.
It is secure and relaxing. The Elliptical shape will give your pet a sense of security and comfort. The bed will also allow your pet to curl up and rest in their natural position.
It is stylish and versatile. The bed comes in various colours and patterns that will match your home decor.

Size:

Small: 60×50×19 cm
Medium: 70×60×23 cm
Large: 95×75×28 cm
X-Large: 110×80×28 cm",Feline Go,110.0,//aleef.com/cdn/shop/files/FelineGoBrownieRectangularBedforCatsandDogs_BlackColour.jpg?v=1684134846
7,"Feline Go Brownie circular bed for cats and dogs, Gray colour","Feline Go Brownie circular bed for cats and dogs, Gray colour

The cozy and comfortable bed is made of soft and durable material to keep your pet warm and snug.
The circular shape provides security and allows your pet to curl up and relax.
The bed is also easy to wash and maintain, so you don’t have to worry about stains or odours.
Whether you have a small cat or a large dog, we have the perfect size for you
It is cozy and comfortable. The soft and plush material will make your pet feel like they are sleeping on a cloud. The bed will also keep your pet warm in the winter and cool in the summer.
The bed is made of high-quality material that can withstand wear and tear. The bed is easy to clean and dry, so you can keep it fresh and hygienic.
It is secure and relaxing. The circular shape will give your pet a sense of security and comfort. The bed will also allow your pet to curl up and rest in their natural position.
It is stylish and versatile. The bed comes in various colours and patterns that will match your home decor. The bed can also be used as a cushion or a mat for your pet.

Size:

Medium: 60×60×22 cm
Large: 70×70×22 cm",Feline Go,170.0,//aleef.com/cdn/shop/files/FelineGoBrowniecircularbedforcatsanddogs_Graycolour.jpg?v=1683796796
8,"Feline Go Danish Rectangular Bed For Cats And Dogs, Dark blue With White Stripes","Feline Go Danish Rectangular Bed For Cats And Dogs, Dark blue With White Stripes

beds are designed to provide optimal support and warmth for your pets while being durable and easy to clean.
They come in various sizes, colours and shapes to suit any preference and personality.
Whether you have a tiny kitten or a large dog, you can find the perfect bed for them here.
cat and dog beds are also eco-friendly and safe for your pets.
The polyester fabric is breathable and hypoallergenic, while the silicone beads fiber is soft and resilient.
They do not contain any harmful chemicals or substances that could harm your pets or the environment.
Give your pet the ultimate comfort and relaxation with this polyester and silicone beads fiber bed.
This bed is made of high-quality polyester fabric that is soft, durable and easy to wash.
The filling is made of fluffy, supportive, resilient silicone beads fibre.
The bed has a raised rim that creates a sense of security and provides head and neck support for your pet.
The bed also has a non-slip bottom that prevents it from sliding on the floor.
This bed is suitable for cats and dogs of all sizes and breeds.
It does not contain any harmful chemicals or substances that could cause allergies or irritation.
It is also breathable and hypoallergenic, keeping your pet cool in summer and warm in winter.

Size:

Small: 60×50×19 cm
Medium: 70×60×23 cm
Large: 95×75×28 cm
X-Large: 110×80×28 cm",Feline Go,70.2,//aleef.com/cdn/shop/files/FelineGoDanishRectangularBedForCatsAndDogs_DarkblueWithWhiteStripes.jpg?v=1683702613
9,سجادة الألياف للكلاب طول 80 × عرض 55 سم,"سجادة الألياف دقيقة الماصة من زولكس سميكة وعالية الوبر ، هذه الحصيرة فائقة النعومة تعطي قدميك دافئة وتحول حمامك إلى سبا منزلي.
آمنة: بناء قوي ومتين مع خياطة مزدوجة تدوم لفترة أطول. ميزة دعم المطاط ""عدم الانزلاق"" لقبضة أفضل. الشنيل الأطول يجفف الماء بسرعة من البساط.
يمكن غسلها في الغسالة بالماء البارد باستخدام منظف معتدل ومجفف مناسب عند الإعداد المنخفض ورجها لاستعادة الزغب.",Zolux,120.0,//aleef.com/cdn/shop/products/3336024770146.jpg?v=1658654808
