,Name,Description,Brand,Price,Image
0,"Classic Pets Adult Dog Dry Food, Beef 15 Kg","Classic Pets Adult Dog Dry Food, Beef 15 Kg
Essential vitamins and minerals for your companion dogs. 
Ensure that your companion dogs receive the ideal nourishment in order for them to gain an optimal level of nutrition from their daily meals.
Essential Benefits
Omega 6 and Zinc- Enhance healthy skin and glossy coat
Vitamin E and Selenium - Boost overall healthy immune system
Calcium and Phosphorus - Build strong bones and teeth.
Crunchy Kibble - Reduce tartar and plaque
Optimal Level of Carbohydrate 
Support energy for daily activities.
Ingredients:
Corn, Soybean Meal, Poultry Meal, Cassava, Rice Bran, Poultry Fat, Vitamins and Minerals, Flavouring, Antioxidants
Guaranteed Analysis:
Protein (Min.) 19%
Fat (Min.) 8%
Fibre (Max.) 4%
Moisture (Max.) 10%",Classic Pets,178.0,//aleef.com/cdn/shop/products/ClassicPetsAdultDogDryFood_Beef15Kg.jpg?v=1668502099
1,JOSIDOG  MASTER MIX Dry food for Adult dogs,"JOSIDOG MASTER MIX Dry food for Adult dogs 18kg


Complete food for adult dogs 
chewy with three differently coloured types of kibble 
It contains beetroot for vitamins and minerals 
68% of the protein is animal protein 
No added soya, sugar or milk products



COMPOSITION 


whole grain corn; barley; dried poultry protein; meat-and-bone meal; beet fibre; poultry fat; rice; hydrolysed poultry protein; hydrolysed animal protein; maize protein; minerals; ground chicory root (natural source of inulin); red beet powder; dried protein from the New Zealand green-lipped mussel (Perna canaliculus).



INGREDIENTS & ADDITIVES 


protein 22.0 % 
fat content 11.0 % 
crude fibre 3.0 % 
crude ash 6.7 % 
calcium 1.50 % 
phosphorus 1.00 %







FEEDING RECOMMENDATION معلومات التغذية


Weight - الوزن
from - من
to - الى


5 kg
80 g
110 g


10 kg
130 g
190 g


20 kg
210 g
320 g


30 kg
260 g
420 g


40 kg
330 g
530 g


60 kg
450 g
700 g


80 kg
560 g
890 g



The recommended feed quantity is per animal per day.",Josera,18.0,//aleef.com/cdn/shop/products/JOSIDOGMASTERMIXDryfoodforAdultdogs18kg.jpg?v=1664260443
2,JOSIDOG AGILO SPORT for Adult Dogs 18kg,JOSIDOG AGILO SPORT for Adult Dogs 18kgThe gluten-free formula of JosiDog Agilo Sport is suitable for sporting dogs with enhanced energy requirements. The valuable fatty acids promote healthy skin and a shiny coat.Complete feed for adult dogsComposition:dried poultry protein; rice; whole grain corn; poultry fat; beet fibre; hydrolysed poultry protein; dried salmon; minerals; hydrolysed vegetable protein; yeast; ground chicory root (natural source of inulin); dried meat from the New Zealand green-lipped mussel (Perna canaliculus);Made in Germany.,Josera,184.5,//aleef.com/cdn/shop/products/4032254745525.jpg?v=1658655194
3,"Classic Pets Adult Dog Dry Food, Lamb15 Kg","Classic Pets Adult Dog Dry Food, Lamb 15 Kg
Essential vitamins and minerals for your companion dogs. 
Ensure that your companion dogs receive the ideal nourishment in order for them to gain an optimal level of nutrition from their daily meals.
Essential Benefits
Omega 6 and Zinc- Enhance healthy skin and glossy coat
Vitamin E and Selenium - Boost overall healthy immune system
Calcium and Phosphorus - Build strong bones and teeth.
Crunchy Kibble - Reduce tartar and plaque
Optimal Level of Carbohydrate 
Support energy for daily activities.
Ingredients:
Corn, Soybean Meal, Poultry Meal, Cassava, Rice Bran, Poultry Fat, Vitamins and Minerals, Flavouring, Antioxidants
Guaranteed Analysis:
Protein (Min.) 19%
Fat (Min.) 8%
Fibre (Max.) 4%
Moisture (Max.) 10%",Classic Pets,178.0,//aleef.com/cdn/shop/products/ClassicPetsAdultDogDryFoodLamb15Kg.jpg?v=1668502810
4,"Classic Pets Adult Dog Dry Food, Chicken 15 Kg","Classic Pets Adult Dog Dry Food, Chicken 15 Kg
Essential vitamins and minerals for your companion dogs. 
Ensure that your companion dogs receive the ideal nourishment in order for them to gain an optimal level of nutrition from their daily meals.
Essential Benefits
Omega 6 and Zinc- Enhance healthy skin and glossy coat
Vitamin E and Selenium - Boost overall healthy immune system
Calcium and Phosphorus - Build strong bones and teeth.
Crunchy Kibble - Reduce tartar and plaque
Optimal Level of Carbohydrate 
Support energy for daily activities.
Ingredients:
Corn, Soybean Meal, Poultry Meal, Cassava, Rice Bran, Poultry Fat, Vitamins and Minerals, Flavouring, Antioxidants
Guaranteed Analysis:
Protein (Min.) 19%
Fat (Min.) 8%
Fibre (Max.) 4%
Moisture (Max.) 10%",Classic Pets,178.0,//aleef.com/cdn/shop/products/ClassicPetsAdultDogDryFood_Chicken15Kg.jpg?v=1669275291
5,Bavaro Force Dry food for puppies and adult dogs,"Bavaro Force Dry food for puppies and adult dogs

It’s a power-packed formula that fuels your dog’s muscles, bones and brain. 
for your dog to be a hard-working athlete, a playful pup or a loyal companion, BAVARO FORCE 28/16 will give them the energy and nutrition they need to thrive.
it is made with high-quality ingredients that are carefully selected and dried to preserve their natural flavour and colour.
It contains no soy, sugar or genetically modified raw materials.
It has a high protein and fat content to support your dog’s growth and performance.
It also has essential vitamins and minerals to keep your dog healthy and happy.
for dogs from 2 months of age onwards.
Excellent food for dogs doing the most physically demanding work.

Try it today and see the difference!

Composition:cereals; meat and animal by-products; oils and fats; vegetable by-products; minerals.
ANALYTICAL CONSTITUENTS



Protein
28%


Fat content
16%


Crude fibre
2%


Crude ash
6%


Calcium
1.3%


Phosphorus
0.9%



NUTRITIONAL ADDITIVES PER KG



Vitamin A
13000 I.U.


Vitamin D3
1300 I.U.


Vitamin E
90mg



Feeding recommendation



Junior


*/24h
2
3
4
5-6 
7-12 
13-20


5 kg
65-85 g
105-125 g
130-155 g
140-165 g
-
-


10 kg
85-115 g
135-155 g
160-170 g
155-180 g
-
-


20 kg
135-160 g
225-275 g
290-355 g
300-370 g
280-340 g
-


30 kg
180-215 g
275-330 g
350-425 g
390-450 g
380-425 g
-


40 kg
240-290 g
380-420 g
390-500 g
465-530 g
455-510 g
-


60 kg
275-340 g
465-530 g
545-685 g
665-805 g
755-850 g
710-795 g


80 kg
370-450 g
520-615 g
650-760 g
805-905 g
880-950 g
805-850 g



 



Adult


Weight
less active
active


5 kg
85 g
115 g


10 kg
145 g
195 g


20 kg
245 g
325 g


30 kg
330 g
440 g


40 kg
410 g
550 g


60 kg
560 g
745 g


80 kg
690 g
925 g",BAVARO,200.0,//aleef.com/cdn/shop/files/BavaroForceDryfoodforpuppiesandadultdogs.jpg?v=1688204453
6,Bavaro Task Dry food for adult dogs,"Bavaro Task Dry food for adult dogs

BAVARO TASK 23/9 is the perfect dog food for working dogs that have light jobs to accomplish, such as guarding, herding or agility.
It provides your dog with balanced nutrition and energy to keep them active and healthy.
BAVARO TASK is made with natural ingredients that are free of soy, sugar and genetically modified raw materials.
It has a moderate protein and fat content to support your dog’s muscles and metabolism.
It also has essential vitamins and minerals to boost your dog’s immune system and prevent deficiencies.
You can feed BAVARO TASK 23/9 to your adult dog according to their weight and activity level.
Just follow the feeding recommendations on the package or consult your veterinarian for advice.
Your dog will enjoy the crunchy kibbles and the delicious flavour of BAVARO TASK 23/9, and you will appreciate the quality and value of this dog food.
BAVARO TASK is the right choice for working dogs that have easy and simple tasks.

Try it today and see how your dog performs!
COMPOSITION: 

cereals; meat and animal by-products; vegetable by-products; oils and fats; minerals.

ANALYTICAL CONSTITUENTS



Protein
23%


Fat content
9%


Fibre
3%


Ash
7%


Calcium
1.4%


Phosphorus
0.7%



NUTRITIONAL ADDITIVES PER KG



Vitamin A
13000 I.U.


Vitamin D3
1300 I.U.


Vitamin E
90mg



FEEDING RECOMMENDATION



Weight
less active
active


5 kg
95 g
125 g


10 kg
165 g
215 g


20 kg
270 g
365 g


30 kg
370 g
495 g


40 kg
460 g
610 g


60 kg
620 g
830 g


80 kg
770 g
1030 g",BAVARO,200.0,//aleef.com/cdn/shop/files/BavaroTaskDryfoodforadultdogs.jpg?v=1688213389
7,JosiDog Active for Adult Dogs 18kg,"JosiDog Active for Adult Dogs 18kgThe nutrient-rich, gluten-free formula of JosiDog Active ensures very active dogs get all the energy they need. With extra power, this high-energy food is suitable for sporting dogs.  Complete feed for adult dogsComplete feed for adult dogsdried poultry protein; whole grain corn; rice; poultry fat; beet fibre; hydrolysed poultry protein; minerals; ground chicory root (natural source of inulin); dried meat from the New Zealand green-lipped mussel (Perna canaliculus);Made in germany.",Josera,184.5,//aleef.com/cdn/shop/products/4032254745464.jpg?v=1658655196
8,Bavaro Work Dry food for active adult dogs,"Bavaro Work Dry food for active adult dogs

BAVARO WORK 26/12 is the ideal dog food for working dogs facing constant demands, such as hunting, sledging or rescue.
It provides your dog with high-quality protein and fat to fuel its performance and activity.
BAVARO WORK 26/12 is made with natural ingredients that are free of soy, sugar and genetically modified raw materials.
It has a high energy and protein content to support your dog’s muscles and endurance.
It also has essential vitamins and minerals to protect your dog’s health and well-being.
You can feed BAVARO WORK 26/12 to your adult dog according to their weight and activity level.
Just follow the feeding recommendations on the package or consult your veterinarian for advice.
Your dog will love the crunchy kibbles and the savoury flavour of BAVARO WORK 26/12, and you will love seeing them excel.
BAVARO WORK 26/12 is the best choice for working dogs that need performance and activity.

Try it today and see how your dog works!
COMPOSITIONcereals; meat and animal by-products; vegetable by-products; oils and fats; minerals.
ANALYTICAL CONSTITUENTS



Protein
26%


Fat content
12%


Crude fibre
2%


Crude ash
8%


Calcium
1.9%


Phosphorus
1.4%



NUTRITIONAL ADDITIVES PER KG



Vitamin A
13000 I.U.


Vitamin D3
1300 I.U.


Vitamin E
90mg



FEEDING RECOMMENDATION



Adult


Weight
less active
active


5 kg
90 g
120 g


10 kg
155 g
205 g


20 kg
260 g
349 g


30 kg
350 g
470 g


40 kg
440 g
585 g


60 kg
595 g
795 g


80 kg
735 g
985 g",BAVARO,200.0,//aleef.com/cdn/shop/products/BavaroWorkDryFoodforAdultDogs18kg.jpg?v=1667976718
9,Royalist High Energy Lamb & Rice Dry Food for Adult dogs,"🌟 Introducing Royalist High Energy Lamb & Rice Dry Food for Adult Dogs! 🌟Pamper your furry royalty with our meticulously crafted blend of high-quality ingredients designed to cater to the energy needs of your adult canine companion. Our formula boasts the perfect combination of taste and nutrition, ensuring wagging tails and boundless energy for your beloved pet.


Let's dive into the Royalist High Energy Lamb & Rice Dry Food for Adult dogs features at Aleef Store



Premium Quality Ingredients: Our dog food is crafted with high-energy lamb and wholesome rice, delivering a palatable feast packed with essential nutrients for your dog's vitality and health.
Optimized Energy Support: Formulated to provide the ideal energy levels for adult dogs, keeping them active and playful throughout the day. high energy dog food, nutrition for active dogs.
Digestive Health Support: Enriched with probiotics and prebiotics, it promotes healthy digestion and ensures optimal nutrient absorption for your furry friend. digestive support for dogs.
Joint Care and Mobility: Contains essential elements such as glucosamine and chondroitin, aiding in maintaining healthy joints and supporting mobility, ideal for active breeds. joint health for dogs, mobility support.
Shiny Coat and Skin Health: Infused with omega fatty acids and vitamins, promoting a luscious coat and healthy skin, giving your dog that stunning, glossy look. healthy coat for dogs, skin support.
No Artificial Additives: Our formula is free from artificial colours, flavors, and preservatives, ensuring a natural and wholesome meal for your furry friend. natural dog food, no artificial additives.



Ingredients:

Our Royalist High Energy Lamb & Rice Dry Food includes lamb, rice, barley, peas, flaxseed, chicken fat, vitamins, minerals, prebiotics, probiotics, glucosamine, and chondroitin.



Feeding Guide:

Serve Royalist Special Selection Lamb & Rice Dry Food as per the recommended portion size based on your dog's weight and activity level.
Always provide fresh water alongside the meal.
Gradually introduce the new food to your dog's diet to ensure a smooth transition.



Treat your regal companion to Royalist High Energy Lamb & Rice Dry Food and watch them thrive with boundless vitality and enthusiasm. Elevate their mealtime experience with nutrition fit for a king or queen! 🐾 Give your canine royalty the nutrition they deserve! Try Royalist High Energy Lamb & Rice Dry Food today! 🐾
Aleef Store, THE destination for your pet care supplies.",ROYALIST,270.0,//aleef.com/cdn/shop/files/RoyalistHighEnergyLamb_RiceDryFoodforAdultdogs.jpg?v=1703060719
