,Name,Description,Brand,Price,Image
0,Applaws Kitten Cat Dry Food Chicken,"Grain Free diets that use high levels of cereals can be hard for kittens to digest and metabolizeNatural DHA and EPA extracts from salmon oil, constitutes to one of the “building blocks” of the brainNatural Omega 3 & 6 Nourish your cats coat, producing a stunning silky appearance80% Animal Protein High meat content for easy digestibilityDry Chicken Meal (62%), Chicken Mince (17%), Potato, Brewer's yeast, Beet Pulp, Chicken Gravy (1%), Salmon Oil, Source of Omega 3, EPA and DHA Vitamins and minerals, Dried Egg, Cellulose Plant Fibre (0.03%), Sodium Chloride, Calcium Carbonate, Seaweed/Kelp, Cranberry, DL-Methionine, Potassium Chloride, Yucca Extract, Citrus Extract, Rosemary Extract.",Applaws,83.0,//aleef.com/cdn/shop/files/ApplawsKittenCatDryFoodChicken.jpg?v=1697554380
1,Purina One Healthy Kitten Formula Dry Food for kittens  aged 3 weeks to 1,"Purina One Healthy Kitten Formula  Dry Food for kittens  aged 3 weeks to 1
Ingredients

chicken byproducts of chicken, corn gluten, rice grits, soybean meal, animal fat mixed with tocopherol (vitamin e source) fish meal (DHA source), corn, poultry by-products, soy protein, liver flavourings, phosphoric acid, caramel, salt, chlorine chloride, calcium carbonate, taurine, potassium chloride. zinc sulfate vitamin e dl methionine ferrous sulfate manganese sulfate niacin copper sulfate vitamin a calcium pantothenate thiamin mononitrate riboflavin vitamin b12 pyridoxine hydrochloride folic acid vitamin d3 calcium iodate biotin menadione sodium bisulfite complex (source of vitamin k) sodium selenite",Purina,24.0,//aleef.com/cdn/shop/files/PurinaOneHealthyKittenFormulaDryFoodforkittensaged3weeksto1_b2a4a49b-2e18-4e3e-87b9-f315d8e364c2.jpg?v=1697615740
2,Bravery with chicken for kitten 2kg,"Bravery with chicken for kittenCompositionDehydrated chicken meat, tapioca, hydrolyzed chicken protein, poultry fat (source of Ω-6 fatty acids), peas, potato protein, hydrolyzed chicken liver, yeast and yeast extract-Saccharomyces cerevisiae (source of mannanooligosaccharides – MOS and β-glucans), sweet potato, sh oil (source of Ω-3-EPA and DHA fatty acids), beet pulp, carob pod, dehydrated whole egg, minerals, natural cellulose (source of insoluble ber), inulin (soluble ber of chicory, source of fructooligosaccharides – FOS), soluble dietary ber extracted from Plantago ovata, essential oils (oregano, cinnamon, cloves, thyme, rosemary, mint, green tea), yucca, hydrolyzates from crustaceans (source of glucosamine), hydrolyzates from cartilage (source of chondroitin), lyophilized melon juice concentrate (rich in superoxide dismutase – SOD).",Bravery,75.0,//aleef.com/cdn/shop/files/Braverywithchickenforkitten2kg.jpg?v=1697617287
3,"Josi Cat dry food for Kitten, Lactating and Pregnant Cats","Elevate your kitten's dining experience with JOSICAT KITTEN Dry Food, specially crafted to cater to your young feline's nutritional needs. Our formula is designed to ensure your kitten grows up healthy, strong, and full of vitality 🐾.


🌟 Josi Cat dry food for Kitten, Lactating and Pregnant Cats  Features:




Premium Nutrition: JOSICAT KITTEN Dry Food provides the essential nutrients your kitten needs for healthy development and growth.


Protein-Packed: Packed with high-quality protein sources, this dry food supports strong muscles and a healthy weight.


Immune Support: Our recipe includes antioxidants to bolster your kitten's immune system, keeping them protected.


Healthy Skin & Coat: Rich in Omega-3 fatty acids for a lustrous coat and soft skin, keeping your kitten looking and feeling their best. ✨


Digestive Health: Gentle on the tummy, this formula promotes easy digestion, perfect for sensitive kittens.


Crunchy Texture: The satisfying crunch not only satisfies your kitten's natural instincts but also helps keep their teeth clean and strong.


📦 Ingredients:

Dehydrated poultry protein
Rice
Animal fats
Maize
Vegetable protein isolate
Hydrolyzed animal proteins
Beet pulp
Fish oil
Yeasts
Fructo-oligosaccharides

🔶 Directions for Use: 




For kittens - الكتين




Age - العمر in months - بالاشهر


Feed amounts - الكميه / kg body weight - كل كجم




2


55 g




3


50 g




4


45 g




5


40 g




6


35 g




7 - 12


25 - 30 g









For pregnant cats - القطط المرضعة و الحوامل




Weight - الوزن


Feed amounts - الكميه / 24 h - كل 24 ساعه




2 - 4 kg


50 - 100 g




4 - 6 kg


100 - 150 g




6 - 8 kg


150 - 190 g




Give your kitten the very best with JOSICAT KITTEN Dry Food and nurture their health, energy, and playful spirit. Start them on a journey of well-being today! 😺🍽️
Aleef Store, The destination for your pet care supplies.",Josera,11.0,//aleef.com/cdn/shop/files/JosiCatdryfoodforKitten_LactatingandPregnantCats.jpg?v=1697634053
4,Diamond Naturals Chicken with Rice flavour Dry food for Kitten,"Diamond Naturals Chicken with Rice flavour Dry food for Kitten
A premium dry cat food that provides optimal nutrition for your growing kitten. This formula is specially formulated to support the development of your kitten’s brain, eyes, muscles, bones, and immune system.

The main ingredient in this formula is real chicken, which provides high-quality protein and essential amino acids to support your kitten’s growth and development.
The formula also contains brown rice, barley, and oatmeal, which are highly digestible carbohydrates that provide energy and fibre to help maintain a healthy digestive system.
The formula is enriched with DHA from salmon oil, which is vital for your kitten’s brain and eye development.
Additionally, the formula contains natural probiotics, antioxidants, vitamins, and minerals to support your kitten’s overall health and wellness.
The formula is free of corn, wheat, soy, artificial colours, flavours, or preservatives, making it suitable for kittens with sensitive stomachs or allergies.

Ingredients

Chicken, chicken meal, grain sorghum, chicken fat (preserved with mixed tocopherols), dried yeast, ground white rice, fish meal, salmon meal, egg product, natural flavour, flaxseed, salmon oil (source of DHA), DL-Methionine, potassium chloride, salt, choline chloride, taurine, dried chicory root, kale, chia seed, pumpkin, blueberries, oranges, quinoa, dried kelp, coconut, spinach, carrots, papaya.

Guaranteed Analysis

Crude Protein 34.0% Minimum
Crude Fat 22.0% Minimum
Crude Fiber 2.0% Maximum
Moisture 10.0% Maximum
DHA (Docosahexaenoic Acid) 0.05% Minimum
Taurine 0.15% Minimum
Omega-6 Fatty Acids* 3.5% Minimum
Omega-3 Fatty Acids* 0.5% Minimum
4,052 kcal/kg (460 kcal/cup)

Feeding Guide
KITTENS



Current Weight (Kg) وزن القط (كجم)
Weaning to 4 Months سن الفطام (حتى 4 أشهر)
4 – 8 Months 4 – 8 أشهر
8 – 12 Months 8 – 12 أشهر


0.5
¼
–
–


1.8
⅔
½
–


2.7
¾
⅔
½


4.1
–
¾
⅔


5.4
–
1¼
¾



ADULT CATS



Current Weight (Kg) وزن القط (كجم)
Standard Measuring Cups Per Day الكميه الومية ( كأس في اليوم)


1
¼


2
⅓


5
½


7
¾


9
1



 
This feeding guide provides a starting point for the amount of food to give your cat each day.
We recommend that you keep your cat in ideal body condition and not allow them to become overweight.
The amount of food your cat needs can vary based on age, activity level or other food and treats given
Remember to keep plenty of fresh water available to your pet at all times.
Aleef Store is the best destination for pet care supplies",Diamond,200.0,//aleef.com/cdn/shop/files/DiamondNaturalsChickenwithRiceflavourDryfoodforKitten_7f1fa82d-72a6-4bfa-adb7-9c814a1f5c88.jpg?v=1693053736
5,Me-O Persian Dry Kitten Food,"Me-O Persian Dry Kitten Food Enhanced Brain Function - Enhanced brain and nervous system function DHA from fish oil Healthy Digestive System - Promote good digestive health and normal stool consistency by adding prebiotics (FOS: Fructo-oligosaccharide) and beet pulp Healthy Vision - Maintains proper eye function and improves eyesight with Taurine, an essential amino acid Healthy Bones & Teeth - Help strengthen teeth and bones by Calcium, Phosphorus, and Vitamin D Healthy Skin & Coat Help nourish the kitten’s hair and skin with Omega-3 and Omega-6 from quality oil in combination with Zinc Healthy Growth - Promote growth with good source of protein from Poultry, Fish, Egg, and Milk",Meo,36.0,//aleef.com/cdn/shop/products/8850477012202_1.jpg?v=1658656795
6,Profine Kitten Natural Chicken,Profine Kitten Natural ChickenNATURAL CHICKEN & RICE FORMULA FOR KITTENS UP TP 12 MONTH OF AGESEA ALGAE & PREBIOTICSTo balance positive intestinal microflora in the gut and help boost immunityCARDIO CONDITIONTaurine and omega-3 from salmon promote excellent heart and cardiovascular system healthMARINE COMPLEXEnriched with shrimp and salmon oil to improve the quality of coat and skin,Profine,16.5,//aleef.com/cdn/shop/products/8595602517640.jpg?v=1658655634
7,Kit Cat Kitten & Pregnant  Dry Cat Food,"Kit Cat Kitten & Pregnant Dry Cat Food Our Kit Cat complete & balanced diet offers your cat a pH level balance wholesome nutrition to support a healthy lifestyle. With selected quality meat containing essential vitamins, our Kit Cat formula also has an optimal ratio of omega-3 to omega-6 fatty acids that promotes a healthy heart, skin, and coat for your cats.In addition, this diet contains fructooligosaccharides which promotes a healthier digestive track and taurine for healthy eyes.",Kit Cat,37.0,//aleef.com/cdn/shop/products/04fcbb0a2db16cda439cb7d81f6124de9d0731bf.jpg?v=1658655423
8,Schesir Kitten Care Tasting Box (5 in 1) Collection of Wet and Dry food for Kitten,"Schesir Kitten Care Tasting Box (5 in 1) Collection of Wet and Dry food for Kitten
In the Box:1. Schesir Dry Food For Kittens\All Breeds With Turkey - 350 g

Grain and gluten-free formula.
With blueberry, a natural ingredient to promote the general well-being of the urinary tract.
With royal jelly and nucleotides mix, a natural ingredient to support the body’s natural immune defenses.
No grain formula: grain and gluten-free.
Natural defenses
Urinary care

Composition: processed chicken protein, 15% processed turkey protein, tapioca, purified animal fat, brewers' yeast, peas, potato flakes, hydrolyzed animal proteins, beet pulp, cellulose, minerals, salmon oil, 0.22% yeast products (nucleotides), whole linseed. Analytical constituents: protein 39%, crude fat 20%, crude fibres 2%, crude ash 9%
Feeding Instructions




عمر الكتين (أشهر) Kitten Age (Months)
2
3
4
6
8


الكمية/24 ساعه Amount/24 h
50
65
80
85
100



 -----------------------------------------------------------------------------------
2. Schesir Polo Chicken Cream & Schesir Tonnetto Tuna Cream - 150 g 

For Wean Kittens from Birth To 6 Months
High Protein Formula
Immune System Development
Enriched With Vitamins & Minerals

 TUNA. Composition: tuna 45%, sunflower seed oil, starch, dried egg, mineral salts,Analytical constituents: protein 10.5%, crude fat 5.5%, crude fibres 0.5%, crude ash 2%CHICKEN. Composition: chicken 50%, starch, sunflower seed oil, dried egg, mineral salts.Analytical constituents: protein 10.5%, crude fat 2.5%, crude fibres 1%, crude ash 2%
Feeding Instructions




الكمية/24 ساعه Amount/24 h
عمر الكتين (أشهر) Kitten Age (Months)


حتى 3.5 مرات up to 3.5
0 - 6


على الأقل 4 وجبات/اليوم  at least 4 meals/day




-----------------------------------------------------------------------------------

3. Schesir Polo Chicken Mousse & Schesir Tonnetto Tuna Mousse - 85 g


Enriched with eggs protein
Support healthy growth
With taurine for brain development

TUNA
Composition: tuna 40%, sunflower seed oil*, starch*, mineral salts, dried egg
Analytical constituents: protein 9%, crude fat 5.5%, crude fibres 0.5%, crude ash 2%, calcium 310 mg/100g, phosphorus 230 mg/100g. Moisture 83%
CHICKEN
Composition: chicken 42.3%, starch, sunflower seed oil, mineral salts
Analytical constituents: protein 8%, crude fat 2.5%, crude fibres 1%, crude ash 2%, calcium 230 mg/100g, phosphorus 180 mg/100g. Moisture 86.5%.
Feeding Instructions





الكمية/24 ساعه Amount/24 h
عمر الكتين (أشهر) Kitten Age (Months)


حتى 3 مرات up to 3
3 - 12


على الأقل 4 وجبات/اليوم  at least 4 meals/day",Schesir,75.0,//aleef.com/cdn/shop/products/SchesirKittenCareTastingBox_5in1_CollectionofWetandDryfoodforKitten.jpg?v=1676186491
9,Me-O Kitten Food Ocean Fish,Improves cat's eyesightBoosts cat's immune systemStrengthens teeth and bonesNourishes cat's skin and hair,Meo,36.0,//aleef.com/cdn/shop/products/Me-OKittenFoodOceanFish.jpg?v=1664619622
