,Name,Description,Brand,Price,Image
0,Zolux 'Moov' Grey Dog Collar,"Zolux 'Moov' Grey Dog Collar The adjustable collar is lined with neoprene for real comfort for your dog.  Made from water-repellent materials, it also has reflective strips for maximum safety. Available in 4 sizes to adapt to all dogs.",Zolux,26.4,//aleef.com/cdn/shop/products/ZoluxMoovRedDogCollar.jpg?v=1670745291
1,Zolux Comf Soft Nylon Turquoise Collar For Dogs,"Zolux Comf Soft Nylon Turquoise Collar For DogsAdjustable collar is made of a textile material with nylon, a water-repellent finish and a nice lining.Thickness 2.5 cm",Zolux,42.0,//aleef.com/cdn/shop/products/ZoluxComfSoftNylonTurquoiseCollarForDogs_74110126-344d-44eb-9de9-343c1073552e.jpg?v=1671442833
2,Beaphar Veto Bio Collar For Dog 65 Cm,"Beaphar Veto Bio Collar For Dog 65 CmCollar for Dogs is effective against parasites such as fleas, ticks and mosquitoes.
waterproof
Is specifically developed to repel external parasites.
Natural extracts of Margosa (Neem). This extract is known for its repellent characteristics against fleas, ticks and insects.
The collar is effective for three months and is suitable for dogs older than three months.",Beaphar,32.0,//aleef.com/cdn/shop/products/BeapharVetoBioCollarForDog65Cm.jpg?v=1664006299
3,زولكس طوق كلاب أسود مريح بمقاسات متعددة,"زولكس طوق أسود مريح بمقاسات متعددة للكلاب

طوق قابل للتضيق والتوسيع
مبطن بالنيوبرين ومريح جداً أثناء الإرتداء
مقاوم للماء ومزود بشرائط عاسكة للضوء
متوفر بأربعة مقاسات ليتناسب مع جميع فصائل الكلاب",Zolux,26.4,//aleef.com/cdn/shop/products/ZoluxMoovBlackDogCollar.jpg?v=1670484068
4,Zolux 'Moov' Grey Dog Collar,"Zolux 'Moov' Grey Dog CollarThe adjustable collar is lined with neoprene for real comfort for your dog.  Made from water-repellent materials, it also has reflective strips for maximum safety. Available in 4 sizes to adapt to all dogs.",Zolux,35.2,//aleef.com/cdn/shop/products/ZoluxMoovGreyDogCollar1.jpg?v=1670738589
5,"Zolux Muzzle For Dogs, Black Leather Size 7","Zolux Muzzle For Dogs, Black Leather Size 7

It is made of high quality leather and respects animal welfare.
It is equipped with adjustable clips
In the event that the dog is infected and needs to be shown to the specialist doctor, put a muzzle
They are light, strong and comfortably protect your dog's mouth
For your dog's comfort, make sure the muzzle is not pressed too hard against the dog's head
While wearing a mask, he must be able to open and close his mouth a little to breathe

Size Dimension 

Nose circumference: 24 cm",Zolux,145.0,//aleef.com/cdn/shop/products/ZoluxMuzzleForDogs_BlackLeatherSize3_801c3bdd-cbe1-46b4-af8a-ba75a868925c.jpg?v=1674977434
6,Extreme dog collar,Extreme dog collarSoftly paddedRing for leashesAttractive designPvc logo sewedDimensions :Small :29x15Medium :35x20Large :40x25,Fop,32.2,//aleef.com/cdn/shop/products/8018084019162.jpg?v=1658656695
7,Hermitage leather dog collar - small,"Hermitage leather dog collar

Quality, elegance and exclusive design are the hallmarks of MyFamily's Hermitage collection. Inspired by the famous museum in St. Petersburg, Hermitage collars and leashes are handcrafted in soft padded 100% Italian leather in Valenza
Small ; 30x1.6cm
S ; 35x1.6cm
Medium : 40x2.2cm
M: 45x.2.2cm
Large : 50.2.8cm
L : 55x2.8cm",My Family,115.0,//aleef.com/cdn/shop/products/8051938210322_8bc134d2-d94c-43dc-b0e6-e0df7581cf8c.jpg?v=1658654190
8,شيربا طوق مع مشد للكلاب لون اسود مقاس كبير,"شيربا طوق مع مشد للكلاب لارج
تحكم سهل و مريح للكلب
مقبط مبطن و مريح
مرونة قوية و دائمة
المقاس : لارج
مقاسات الرقبة : 48-53 سم",Sherpa,68.31,//aleef.com/cdn/shop/products/786306777135.jpg?v=1658653619
9,"Zolux Muzzle For Dogs, Black Leather Size 9","Zolux Muzzle For Dogs, Black Leather Size 9

It is made of high quality leather and respects animal welfare.
It is equipped with adjustable clips
In the event that the dog is infected and needs to be shown to the specialist doctor, put a muzzle
They are light, strong and comfortably protect your dog's mouth
For your dog's comfort, make sure the muzzle is not pressed too hard against the dog's head
While wearing a mask, he must be able to open and close his mouth a little to breathe

Size Dimension 

Nose circumference: 33 cm",Zolux,150.0,//aleef.com/cdn/shop/products/ZoluxMuzzleForDogs_BlackLeatherSize3_2108762a-6984-4976-b4fa-44b0bde90613.jpg?v=1674977791
