,Name,Description,Brand,Price,Image
0,Beaphar Lactol Feeding Set,"This pack contains a soft bottle, four teats and a cleaning brush. The bottle is designed for the feeding of newborn and growing animals (puppies, kittens, guinea pigs, rabbits, etc). It can also be used for feeding sick or recuperating animals.",Beaphar,25.0,//aleef.com/cdn/shop/products/5021284176712.jpg?v=1658654707
1,"Felyn Go Lint Remover Roll for all Pets, 60 Roll","Introducing the Felyn Go Lint Remover Roll – your ultimate solution for a pet-friendly, lint-free life. This innovative pet hair removal tool is designed to make your home cleaner and more comfortable, all while keeping your beloved pets in mind. Say goodbye to stubborn pet hair and hello to a cleaner, happier living space.
Felyn Go Scented Lint Remover Roll for all Pets Benefits:


Effective Pet Hair Removal: Our lint remover roll is expertly crafted to pick up even the most persistent pet hair from a wide range of surfaces, including clothing, furniture, and car seats. Keep your home free from unsightly fur and fuzz.


Quick and Easy to Use: With its easy-to-peel sheets, using the Felyn Go lint remover is a breeze. Simply roll it over the affected area, peel away the used sheet, and continue. No need to fuss with messy cords or batteries.


Long-Lasting Value: Each roll contains an abundant number of sheets, ensuring that you have a reliable and long-lasting lint removal solution. No more frequent replacements – one roll goes a long way.


Gentle on Fabrics: The Felyn Go lint remover is designed to be gentle on your clothes and upholstery, leaving them intact and free from damage. Rest assured that your favorite garments will remain in top condition.


Pet-Friendly Design: We understand the importance of pet safety. That's why our lint remover uses pet-friendly adhesives and scents, making it safe to use around your furry friends.


Directions for Use:

Hold the Felyn Go lint remover roll by its comfortable handle.
Roll the adhesive side gently and firmly over the desired surface.
When the sheet is fully covered with lint, fur, or debris, simply peel it away to reveal a fresh, sticky sheet underneath.
Continue rolling to remove lint and pet hair with ease.
Dispose of used sheets responsibly.

Experience the joy of a clean, pet-friendly home with the Felyn Go Scented Lint Remover Roll. Say goodbye to pet hair and hello to fresh, fragrant surroundings. Make your home a more inviting place for both you and your cherished pets.
Aleef Store, The destination for your pet care supplies.",Feline Go,16.0,//aleef.com/cdn/shop/files/FelynGoLintRemoverRollforallPets_60Roll.jpg?v=1699450861
2,Beaphar Eye Gel for all Pets,"Beaphar Eye Gel for all Pets

A sterile liquid gel to soothe and relieve dry and irritated eyes. 
Once applied to the eye, the gel gently softens and melts across the cornea to provide instant relief and reduce discomfort caused by dry eyes. 
Beaphar Eye Gel contains Vitamin A to help protect and repair the surface of the eye.
Ideal for helping your pet’s eyes to naturally clean dust and debris away.
Suitable for all animals, big and small.

Instructions1. Remove the screw cap on the tube.2. Hold your pet gently but firmly and place a single drop of Beaphar Eye Gel directly onto the surface of the eye, ensuring the tube does not touch the eye. You may find it helpful to support your pet in a towel to help restrain them while you are administering the Beaphar Eye Gel.3. The gel will gently melt across the surface of the eye.If required, this can be repeated every four hours.IMPORTANT:

Dispose of Beaphar Eye Gel 28 days after opening and replace it with a new one.",Beaphar,35.0,//aleef.com/cdn/shop/products/BeapharEyeGelforallPets.jpg?v=1674975039
3,Zolux Robycob  Sawdust corn cobs Nature For Small Animals,"Zolux Robycob  Sawdust corn cobs Nature For Small Animalsplant bedding for rodents created from corn cobs
The bedding is convenient to use, does not get dusty and absorbs liquids very strongly. 
It eliminates bad smells and creates a fresh atmosphere in the cage. It does not attach to the paws and coat of the pet. 
The bedding does not dust or contribute to the animal's respiratory diseases. 
The bedding is biodegradable and compostableHow to use:
Place a large mattress between 2 to 3 cm thick in the cage box.",Zolux,62.0,//aleef.com/cdn/shop/products/ZoluxRobycobSawdustcorncobsNatureForSmallAnimals5l.jpg?v=1665307825
4,Sanal Eye Cleaner 50ml,"Before use, please check if there is no infection or another condition which asks for veterinary assistance. If not, gently put 3 drops in the lower eyelid. Let your pet blink his eyes. Use a cotton ball with some Sanal Eye Cleaner on it to wipe around the eye until the dirt comes off. Repeat 1 to 2 times per week.",Sanal,41.0,//aleef.com/cdn/shop/products/8711908606004.jpg?v=1658653459
5,"Simple Solution Cage & Hutch Spray Cleaner,For Small Animals 500mL&nbsp;","Simple Solution Cage & Hutch Spray Cleaner,For Small Animals 500mL


Leaves your hutch and cage smelling clean and fresh
Helps prevent limescale build-up
Made from the kindest, most effective natural oils including clove leaf, eucalyptus and peppermint
Cleans and freshens cages and hutches easily and effectively
Safe to use on all small furry animal homes as well as feeding equipment
Do not apply directly to animals
500ml Trigger Spray",Simple Solution,42.0,//aleef.com/cdn/shop/products/SimpleSolutionCage_HutchSprayCleaner_ForSmallAnimals500mL.jpg?v=1671863202
6,"Felyn Go Scented Lint Remover Roll for all Pets, 60 Roll","Introducing the Felyn Go Scented Lint Remover Roll – your ultimate solution for a pet-friendly, lint-free life. This innovative pet hair removal tool is designed to make your home cleaner, fresher, and more comfortable, all while keeping your beloved pets in mind. Say goodbye to stubborn pet hair and hello to a cleaner, happier living space.
Felyn Go Scented Lint Remover Roll for all Pets Benefits:


Effective Pet Hair Removal: Our lint remover roll is expertly crafted to pick up even the most persistent pet hair from a wide range of surfaces, including clothing, furniture, and car seats. Keep your home free from unsightly fur and fuzz.


Scented for Freshness: Infused with a delightful, pet-friendly scent, this lint remover roll doesn't just remove hair; it leaves a pleasant aroma behind, making your living space feel refreshed and inviting.


Quick and Easy to Use: With its easy-to-peel sheets, using the Felyn Go lint remover is a breeze. Simply roll it over the affected area, peel away the used sheet, and continue. No need to fuss with messy cords or batteries.


Long-Lasting Value: Each roll contains an abundant number of sheets, ensuring that you have a reliable and long-lasting lint removal solution. No more frequent replacements – one roll goes a long way.


Gentle on Fabrics: The Felyn Go lint remover is designed to be gentle on your clothes and upholstery, leaving them intact and free from damage. Rest assured that your favorite garments will remain in top condition.


Pet-Friendly Design: We understand the importance of pet safety. That's why our lint remover uses pet-friendly adhesives and scents, making it safe to use around your furry friends.


Directions for Use:

Hold the Felyn Go lint remover roll by its comfortable handle.
Roll the adhesive side gently and firmly over the desired surface.
When the sheet is fully covered with lint, fur, or debris, simply peel it away to reveal a fresh, sticky sheet underneath.
Continue rolling to remove lint and pet hair with ease.
Dispose of used sheets responsibly.

Experience the joy of a clean, pet-friendly home with the Felyn Go Scented Lint Remover Roll. Say goodbye to pet hair and hello to fresh, fragrant surroundings. Make your home a more inviting place for both you and your cherished pets.
Aleef Store, The destination for your pet care supplies.",Feline Go,30.0,//aleef.com/cdn/shop/files/FelynGoScentedLintRemoverRollforallPets_60Roll.jpg?v=1699441171
7,ZOLUX Rodycare Soft Brush for Rodents,"Rodent hair brush with soft teeth


Removes dirt and loose hair
Promotes a healthy coat
Comfortable to use and non-slip handle",Zolux,17.32,//aleef.com/cdn/shop/products/3336022030273.jpg?v=1658655538
8,"Felyn Go Sanitizer Roll for all Pets, 60 Roll","Introducing the Felyn Go Sanitizer Roll, your new companion for a cleaner and safer life. This innovative product is designed to provide you with a convenient and effective way to sanitize various surfaces, ensuring your surroundings are free from harmful germs and bacteria. Say farewell to worries and welcome peace of mind with Felyn Go Sanitizer Roll.
Felyn Go Sanitizer Roll for all Pets Benefits:


Effective Surface Sanitization: Our Sanitizer Roll is expertly designed to kill germs, viruses, and bacteria, providing you with a thorough and reliable sanitization solution.


Portable and Convenient: Compact and easy to carry, the Felyn Go Sanitizer Roll is your on-the-go defense against germs, ensuring a safe and clean environment wherever you are.


Quick-Drying Formula: Our sanitizer dries rapidly, allowing you to use sanitized surfaces without delay, making it ideal for busy lifestyles.


Long-Lasting Value: Each roll contains ample sheets, ensuring you have a durable and dependable sanitization solution for an extended period.


Gentle on Surfaces: The Felyn Go Sanitizer Roll is designed to be gentle on surfaces, leaving them unharmed while effectively eliminating germs.


Non-Toxic and Eco-Friendly: Our product is safe for you and the environment, providing peace of mind for your health and the planet.


Directions for Use:

Hold the Felyn Go lint remover roll by its comfortable handle.
Roll the adhesive side gently and firmly over the desired surface.
When the sheet is fully covered with lint, fur, or debris, simply peel it away to reveal a fresh, sticky sheet underneath.
Continue rolling to remove lint and pet hair with ease.
Dispose of used sheets responsibly.

Experience the joy of a clean, pet-friendly home with the Felyn Go Scented Lint Remover Roll. Say goodbye to pet hair and hello to fresh, fragrant surroundings. Make your home a more inviting place for both you and your cherished pets.
Aleef Store, The destination for your pet care supplies.",Feline Go,25.5,//aleef.com/cdn/shop/files/FelynGoSanitizerRollforallPets_60Roll.jpg?v=1699449924
9,"Simple Solution Chew Stopper For Pets, 500 ml","سمبل سلوشن بخاخ مانع المضغ للحيوانات الأليفة، 500 مل

بخاخ آمن وفعال لا يشجع حيوانك الأليف على العض والقضم على أي سطح.
ببساطة قم برش البخاخ على المناطق التي تريد حمايتها ، وكرر حسب الضرورة.
للبخاخ طعم قوي ومر سيجده حيوانك الأليف مزعجًا وسيتعلم تجنبه.
مناسب للكلاب والقطط ، ويمكن استخدامه أيضًا لمنع لعق ومضغ الجلد والبقع الساخنة والضمادات والغرز.
يأتي في زجاجة عملية سهلة الاستخدام تجعله سهل الاستعمال.",Simple Solution,52.0,//aleef.com/cdn/shop/files/SimpleSolutionChewStopperForPets_500ml.jpg?v=1687004248
