,Name,Description,Brand,Price,Image
0,Big Round Necklace,"Big Round Necklace This product can be customized with 4 lines on the front and 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,18.0,//aleef.com/cdn/shop/products/BigRoundNecklace.jpg?v=1668237868
1,Big Bone Necklace,"Big Bone Necklace This product can be customized with 4 lines on the front and 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,18.0,//aleef.com/cdn/shop/products/BigBoneNecklace.jpg?v=1667993944
2,Small Heart Necklace,"Small Heart Necklace This product can be customized with 4 lines on the front and 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,15.3,//aleef.com/cdn/shop/products/SmallHeartNecklace.jpg?v=1668239592
3,My Family KEY RING,My Family KEY RING,My Family,22.0,//aleef.com/cdn/shop/products/8058773279187.jpg?v=1658653469
4,Big Bone Necklace Plated,"Big Bone Necklace This product can be customized with 4 lines on the front and 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,35.0,//aleef.com/cdn/shop/products/SmallBoneNecklaceGold.jpg?v=1668498742
5,"ID TAG BIG CIRCLE ""I LOVE MOM""","ID TAG BIG CIRCLE ""I LOVE MOM""When creativity and imagination merge with artisan experience in metal manufacture, the result is an inimitable collection. Charms tags by MyFamily, hand enameled, express the contemporaneity of the social networks world. Messages, emoticons, new common sayings make each tag a ""speaking"" object. Many shapes among which also the balls of the most loved sports! Get carried away by imagination and seduced by quality.Made in ItalyThis product can be customized with 4 lines on the back.Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,65.0,//aleef.com/cdn/shop/products/f1b5fa239202ed8154c8cbb4f65f33bc7fcb6aeb.jpg?v=1658655149
6,My Family Pet Charm Red Bow,"My Family Pet Charm Red Bow When creativity and imagination merge with artisan experience in metal manufacture, the result is an inimitable collection. Charms tags by MyFamily, hand enameled, express the contemporaneity of the social networks world. Messages, emoticons, new common sayings make each tag a ""speaking"" object. Many shapes among which also the balls of the most loved sports! Get carried away by imagination and seduced by quality. Made in Italy This product can be customized with 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number) FREE CUSTOMIZATION",My Family,65.0,//aleef.com/cdn/shop/products/ecdc8fc989d565d8622047b264e77ac46c46196a.jpg?v=1658655148
7,ID Tag Big Ladybug,ID Tag Big Ladybug,My Family,52.0,//aleef.com/cdn/shop/products/8055960256365.jpg?v=1658653800
8,Small Glitter Heart ID Tag For Dogs - black,Small Glitter Heart ID Tag For Dogs,My Family,44.0,//aleef.com/cdn/shop/products/86.jpg?v=1658653768
9,ID Tag Small Paw Classic For Dogs - pink,ID Tag Small Paw Classic For Dogs,My Family,44.0,//aleef.com/cdn/shop/products/104.jpg?v=1658653751
10,"SHINE ""BIG PAW PINK GLITTER"" ID TAG","SHINE ""BIG PAW PINK GLITTER"" ID TAGHandmade with accuracy and enhanced with glitter enamel, the Shine ID tags are born to sparkle!Every piece conveys style and elegance, ideal to give our four-legged friends a ""touch of style"" that cannot go unnoticed.The quality of materials and finishes is undeniable and the colors and shapes range allows to find always the perfect fit for any pet.Made in ItalyThis product can be customized with 3 lines on the back.",My Family,55.0,//aleef.com/cdn/shop/products/103.jpg?v=1658653743
11,Paw Necklace With Glitter - green,"Paw Necklace With Glitter This product can be customized with 4 lines on the front and 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,50.0,//aleef.com/cdn/shop/products/8055960257454.jpg?v=1658656632
12,"Large bone bronze ""LADY BOSS""ID Tag","My Family LADY BOSS Bone Shape Bronze Large Size Necklace Made in italy",My Family,60.0,//aleef.com/cdn/shop/products/81.jpg?v=1658656615
13,Big circle Necklace,"Big circle Necklace This product can be customized with 4 lines on the front and 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,34.0,//aleef.com/cdn/shop/products/27fc88fb8a9298949e8bfa754ac85a5f19d12ef6.jpg?v=1658656001
14,قلادة على شكل فرينش بولدوج,قلادة يتم تعديلها بما يناسبك باضافة سطر الى اربعة سطور و ايضا يمكنك الكتابة بالعربي,My Family,50.0,//aleef.com/cdn/shop/products/702cfba006454d591ac265fb2eddb2e9a4814c58.jpg?v=1658655996
15,Flower Necklace,"Flower Necklace This product can be customized with 4 lines on the front and 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,60.5,//aleef.com/cdn/shop/products/6b1af29734fb8ec0718f9b393a515ed2eef52aca.jpg?v=1658655986
16,SmallBone Necklace - grey,"SmallBone Necklace This product can be customized with 4 lines on the front and 4 lines on the back. (eg. Name line 1, line 2 telephone number)",My Family,45.0,//aleef.com/cdn/shop/products/745fd1525a46b25664c5f39346b38b83662def9b.jpg?v=1658655982
17,Big Heart Necklace,"Big Heart Necklace This product can be customized with 4 lines on the front and 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,18.0,//aleef.com/cdn/shop/products/4d2d1f061ab34ea25260edd83eec4e5f5706d966.jpg?v=1658655978
18,SmallBone Necklace - blue,"SmallBone Necklace This product can be customized with 4 lines on the front and 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,45.0,//aleef.com/cdn/shop/products/c518ad35c23d2cd3feea70292830c307543c995f.jpg?v=1658655964
19,Round Paw Fuchsia Necklace,"Round Paw Fuchsia Necklace This product can be customized with 4 lines on the front and 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,130.0,//aleef.com/cdn/shop/products/cc62254f015a3ef77c8e62b1936bf93d6e47ee85.jpg?v=1658655950
20,My Family Stainless circular tag for cats and dogs,"My Family Stainless circular tag for cats and dogs

This stainless steel pet tag is a simple and elegant way to identify your furry friend.
you can engrave your cat's or dog's name, phone number or any other information
It has a circular shape that fits any collar and can be personalized with your pet’s name and your contact information on both sides.
This way, you can be reunited with your pet in case they get lost.
The tag also comes with a split ring for easy attachment.
Whether you have a cat or a dog, this pet tag will suit their personality and style.

Order yours today and enjoy",My Family,18.0,//aleef.com/cdn/shop/products/SmallRoundNecklace.jpg?v=1668410826
21,WILD TAG - LION,"WILD TAG - LIONAccurately hand enameled, Wild ID tags reproduce the most engaging selection of sea and land wild animals. Each product, really expressive, can be a perfect gift for our loved ones. Wild ID tags, in fact, are ideal as pendants or keyrings and can be engraved with a customized greeting or dedication. Available also in the best Zoos and Aquariums.Made in ItalyThis product can be customized with 3 lines on the back.Tell us how to customize your product.",My Family,65.0,//aleef.com/cdn/shop/products/4200e604999b7db51f11e704709b8735d45d0bba.jpg?v=1658655152
22,"ID TAG BIG CIRCLE ""KEEP CALM AND TAKE ME OUT""","ID TAG BIG CIRCLE ""KEEP CALM AND TAKE ME OUT""When creativity and imagination merge with artisan experience in metal manufacture, the result is an inimitable collection. Charms tags by MyFamily, hand enameled, express the contemporaneity of the social networks world. Messages, emoticons, new common sayings make each tag a ""speaking"" object. Many shapes among which also the balls of the most loved sports! Get carried away by imagination and seduced by quality.Made in ItalyThis product can be customized with 4 lines on the back.Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,65.0,//aleef.com/cdn/shop/products/48dc62990bdc312e968c1793f12a23586bb48c4c.jpg?v=1658655145
23,"ID TAG MEDIUM CIRCLE ""THE LEGEND"" STUDS","ID TAG MEDIUM CIRCLE ""THE LEGEND"" STUDSEach item of Bronx collection is a unique example, finished off by hand and perfected with a fashionable antique silver plating. The small irregularities on the tags surface are the proof of the handcrafted process which makes them authentic products. Bronx collection is characterized by several weaves and decorations that spread the real urban soul of the American suburbs.You can also customize and add what ever you want in the back of it.",My Family,65.0,//aleef.com/cdn/shop/products/5e20e3f633751000e514061ce3634fd74e1dcdb6_459ba782-b186-4fc5-9bfd-91578bba5e78.jpg?v=1658655142
24,Small Circle Glitter ID Tag For Dogs - blue,Small Circle Glitter ID Tag For Dogs,My Family,44.0,//aleef.com/cdn/shop/products/8055960257508.jpg?v=1658653793
25,Small Circle Glitter ID Tag For Dogs - black,Small Circle Glitter ID Tag For Dogs,My Family,44.0,//aleef.com/cdn/shop/products/8058773272287.jpg?v=1658653792
26,MF Tags BIG ROUND CHROME PLATED BRASS,"Big Round Necklace This product can be customized with 4 lines on the front and 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,28.0,//aleef.com/cdn/shop/products/MFTagsBIGROUNDCHROMEPLATEDBRASS.jpg?v=1668413310
27,"My
  family Bronx Necklace","This product can be customized with 4 lines on the front and 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,50.0,//aleef.com/cdn/shop/products/MyfamilyBronxNecklace.jpg?v=1668329868
28,"My Family Shine ""Small Bone Blue Glitter"" ID Tag","My Family Shine ""Small Bone Blue Glitter"" ID Tag",My Family,44.0,//aleef.com/cdn/shop/products/MyFamilyShineSmallBoneBlueGlitterIDTag.jpg?v=1668329129
29,CHARTREUX CAT TAG BLACK,"CHARTREUX CAT TAG BLACKBeauty, uniqueness, constant quest for perfection.MyFamily Friends collection offers hundreds of ID tags representing the most popular dog and cat breeds, accurately reproduced in each detail.Every tag, hand-enameled, is a Made in Italy artisan wonder that fascinates for its great expressiveness and incredible verisimilitude.A perfect example of how a metal object can evoke emotions.Made in ItalyThis product can be customized with 3 lines on the back.",My Family,65.0,//aleef.com/cdn/shop/products/CHARTREUXCATTAGblack.jpg?v=1668242222
30,Skull Necklace,"Skull Necklace This product can be customized with 4 lines on the front and 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,60.0,//aleef.com/cdn/shop/products/c6f62423fb37a58110856e4535beac0ec2a93f13.jpg?v=1658656824
31,"ID TAG MEDIUM CIRCLE ""I LOVE YOU""","A necklace that is modified to suit you by adding one to four lines, and you can also write in Arabic",My Family,60.0,//aleef.com/cdn/shop/products/07678b95d189af7c31ec8800121fd81929d08421.jpg?v=1658656755
32,"SHINE ""BONE grey Bone GLITTER "" ID TAG","SHINE ""BONE grey Bone GLITTER "" ID TAG Handmade with accuracy and enhanced with glitter enamel, the Shine ID tags are born to sparkle! Every piece conveys style and elegance, ideal to give our four-legged friends a ""touch of style"" that cannot go unnoticed. The quality of materials and finishes is undeniable and the colors and shapes range allows to find always the perfect fit for any pet. Made in Italy This product can be customized with 3 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,42.5,//aleef.com/cdn/shop/products/8058773271730.jpg?v=1658656672
33,فلادة على شكل عظمة للكلاب و القطط,"فلادة على شكل عظمة للكلاب و القطط
كل قطعة من مجموعة برونكس هي مثال فريد ، تم تصنيعها يدويًا ومتقنة بطلاء فضي عتيق عصري. المنقوش الصغيرة على سطح العلامات هي دليل على العملية اليدوية التي تجعلها منتجات أصلية. تتميز مجموعة برونكس بالعديد من المنسوجات والزخارف التي تنشر الروح الحضرية الحقيقية للضواحي الأمريكية.
يمكن كتابة 3 سطور على حسب الرغبة في الخلف .. بالعربي و الانجليزي",My Family,60.0,//aleef.com/cdn/shop/products/8055960252091.jpg?v=1658656639
34,"SHINE ""BONE blue Bone GLITTER "" ID TAG","SHINE ""BONE blue Bone GLITTER "" ID TAG Handmade with accuracy and enhanced with glitter enamel, the Shine ID tags are born to sparkle! Every piece conveys style and elegance, ideal to give our four-legged friends a ""touch of style"" that cannot go unnoticed. The quality of materials and finishes is undeniable and the colors and shapes range allows to find always the perfect fit for any pet. Made in Italy This product can be customized with 3 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,50.0,//aleef.com/cdn/shop/products/8055960257379.jpg?v=1658656637
35,black round bone with glitter,"black round bone with glitter This product can be customized with 4 lines on the front and 4 lines on the back. Tell us how to customize your product (eg. Name line 1, line 2 telephone number)",My Family,50.0,//aleef.com/cdn/shop/products/8058773272324.jpg?v=1658656635
36,ID Shiny black bone print necklace,A circular necklace with a black bone print that is modified to suit you by adding four lines. You can also write in Arabic,My Family,50.0,//aleef.com/cdn/shop/products/8058773272317.jpg?v=1658656630
