,Name,Description,Brand,Price,Image
0,"Kit Cat Sticks Chicken & Wild Berries Grain Free Treats For Cats, 3×5g","Kit Cat Sticks Chicken & Salmon Grain Free Treats For Cats, 3×5g

A rewarding treat that is perfect for your cats. and highly Palatable Treat
A grain-free and meaty snack to encourage play and keep your pets active.
Made with premium quality animal protein, added minerals and vitamins
Improve your cat’s digestion
All Life Stages
Taurine Added
Grain Free & Gluten Free

IngredientsChicken, Salmon (14%), Chicken Meal, Dried Pumpkin (4%), Dried Yeast, Sodium ChlorideGuaranteed Analysis

Protein 38%
Fat Content 19%
Fiber 1%
Ash 6%
Moisture27%

Calorie Content: 16.1 Kcal/ Stick




Feeding Recommendation التغذية




Cat weight وزن القط


Amount الكميه




2kg


1 stick/ day




4kg


1 stick/ day




6kg


1.5 sticks/ day




Store in a cool and dry place. Avoid direct sunlight. تخزينها في مكان بارد وجاف. تجنب أشعة الشمس المباشرة.",Kit Cat,10.0,//aleef.com/cdn/shop/products/KitCatSticksChicken_SalmonGrainFreeTreatsForCats_3x5g.jpg?v=1676443152
1,Sanal Salmon Bites in Cup 75g,"Omega-3 fatty acids which help the heart and blood vessels healthyCrispy outside with soft salmon fillingWith vitamins A, D3 and E",Sanal,16.0,//aleef.com/cdn/shop/products/8711908157506.jpg?v=1658655882
2,Sanal Treat snack with Salamon flavours 3 Stick,"Sanal Treat snack with Salamon flavours 3 Stick
Treat your cat to Sanal Salmon & Trout Sticks, a natural, high-protein snack bursting with omega-3 goodness for a shiny coat and overall vitality. No artificial additives. Elevate treat time with Sanal today!

Premium cat treats
Omega-3 cat snacks
High-protein cat treats
Natural cat snacks
treat with vitamin A, D3 and E
taurine For heart health.hair and prevent hair loss",Sanal,12.0,//aleef.com/cdn/shop/files/SanalTreatsnackwithSalamonflavours3Stick.jpg?v=1693821276
3,Sanal Treat snack with different flavours 3 Stick,"treat with vitamin A, D3 and Etaurine For heart health.hair and prevent hair loss",Sanal,12.0,//aleef.com/cdn/shop/products/8711908384001.jpg?v=1658655754
4,INABA Churu Rolls Natural Cat Treats 4x10g,"INABA Churu Rolls - Soft Baked Chicken Filled with Churu Puree - Natural Cat TreatsSoft baked chicken paste outside, delicious creamy Churu filling insideChuru Rolls are soft stick-shaped natural chicken treats seasoned with natural flavors, green tea extract and vitamin E. No grains, preservatives or artificial colors. Each package includes four individual treat packs to maintain maximum freshness.・Made with 100% pure and natural chicken meat and wild tuna・Creamy Churu filling inside, soft baked chicken paste outside・No grains, preservatives or artificial colors・Contains 4 individual packs for maximum freshness・2 different textures in one bite",Inaba,16.0,//aleef.com/cdn/shop/products/854871008975.jpg?v=1658653885
5,Sanal Treat snack with different flavours 3 Stick,"treat with vitamin A, D3 and Etaurine For heart health.hair and prevent hair loss",Sanal,12.0,//aleef.com/cdn/shop/products/8711908385008.jpg?v=1658655626
6,Sanal Cat Fish Trio 75g,"Sanal Cat Fish Trio 75g As soon as you open this Sanal Cat Fish Trio cup, you are assured of a happy cat. Your cat will love these delicious salmon, trout and shrimp snacks. The vitamins ensure a healthy and shiny coat. These cat snacks also contain calcium to keep your cat's teeth and bones strong. - A delicious treat of 3 fish flavors: salmon, trout and shrimp - The snacks have 3 different shapes - Vitamins A, D3 and E increase resistance, promote growth and ensure good muscle function and a shiny coat - Contains Calcium - 75 grams - Packed in a handy and resealable cup so that the product stays fresh for longer.",Sanal,16.0,//aleef.com/cdn/shop/products/0fee8a0dff6eec5f6589d6ba87dd81049e39468d.jpg?v=1658655174
7,"Kit Cat Sticks Chicken, Duck & Cranberries Grain Free Treats For Cats, 3×5g","Kit Cat Sticks Chicken, Duck & Cranberries Grain Free Treats For Cats, 3×5g

A rewarding treat that is perfect for your cats. and highly Palatable Treat
A grain-free and meaty snack to encourage play and keep your pets active.
Made with premium quality animal protein, added minerals and vitamins
Improve your cat’s digestion
All Life Stages
Taurine Added
Grain Free & Gluten Free

IngredientsChicken, Duck (14%), Chicken Meal, Cranberries (4%), Dried Yeast, Sodium ChlorideGuaranteed Analysis

Protein 40%
Fat Content 18%
Fiber 1.5%
Ash 6%
Moisture 27%


Calorie Content: 16.1 Kcal/ Stick




Feeding Recommendation التغذية




Cat weight وزن القط


Amount الكميه




2kg


1 stick/ day




4kg


1 stick/ day




6kg


1.5 sticks/ day




Store in a cool and dry place. Avoid direct sunlight. تخزينها في مكان بارد وجاف. تجنب أشعة الشمس المباشرة.",Kit Cat,10.0,//aleef.com/cdn/shop/products/KitCatSticksChicken_Duck_CranberriesGrainFreeTreatsForCats_3x5g.jpg?v=1676449804
8,Kit Cat Purrfect Pockets Hairball Control Treats for cats 60 g,"Kit Cat Purrfect Pockets Hairball Control Treats for cats 60 g

Featuring a duo texture treat made with natural ingredients that guarantees satisfaction with every bite.
A crispy exterior that brings a fun crunch and a soft center that oozes with deliciousness.
Highly Palatable Treats
Crispy Crust Creamy Inside
Taurine Added
Lignocellulose Added

IngredientsPea starch, Dehydrated poultry proteins (including 14% chicken), Maize, Maize protein, Coconut oil, Poultry fat, Lignocellulose (4%), Hydrolyzed chicken proteins, Potato starch, Malt (0.5%), MineralsGuaranteed AnalysisCrude Protein Min 26 %Fat Content Min 17.5 %Crude Fiber Max 2.8 %Moisture Max 10 %Calories Content : 4260 Kcal/Kg



FEEDING RECOMMENDATIONالتغذيه


Weight - الوزن

Amount - الكميه




2 kg

8 pcs/day - قطعه في اليوم



4 kg

12 pcs/day - قطعه في اليوم


6 kg
16 pcs/day - قطعه في اليوم",Kit Cat,13.0,//aleef.com/cdn/shop/products/KitCatPurrfectPocketsHairballControlTreatsforcats60g_14651f0a-5643-4f8e-93bf-0adbf9ac140c.jpg?v=1677502866
9,Kit Cat Breath Bites Treats Beef Flavor 60g,"Kit Cat Breath Bites Treats Beef Flavor 60gBursting with the tasty flavors your cat will love, these crunchy treats are specially designed to help keep your cat’s teeth clean by reducing plaque and tartar when fed dailyInfused with mint for fresh breath",Kit Cat,9.0,//aleef.com/cdn/shop/products/44f583850bbdfbdea24dee3c2b81dfbf3d1424e6.jpg?v=1658656186
10,"Churu Fun Bites Tuna Treats For Cats, 3×20g","Churu Fun Bites Tuna Treats For Cats, 3×20gMade with 100% pure and natural farm-raised chicken and wild tunaThe creamy filling inside, soft-baked chicken paste outsideNo grains, preservatives, or artificial coloursAdded Taurine and Vitamin EContains 3 individual packs for maximum freshness2 different textures in one biteINGREDIENTSChicken, Tuna, Water, Tapioca, Egg White, Sodium Caseinate, Guar Gum, Natural Chicken Flavor, Natural Flavors, Yeast Extract, Natural Tuna Flavor, Carrageenan, Vitamin E Supplement, Paprika Oleoresin (color), Green Tea Extract.GUARANTEED ANALYSISCrude Protein (min) 24.00%Crude Fat (min) 4.00%Crude Fiber (max) 0.50%Moisture (max) 69.00%Vitamin E (min) 80 IU/kgTaurine(min) 0.025%CALORIE CONTENT1500 kcal/kg, 30 kcal/pcs ME (calculated)",Inaba,20.0,//aleef.com/cdn/shop/products/ChuruFunBitesTunaTreatsForCats_3x20g.jpg?v=1664877132
11,Kit Cat Purrfect Pockets Skin And Coat Care Treats for cats 60 g,"Kit Cat Purrfect Pockets Skin And Coat Care Treats for cats 60 g

Featuring a duo texture treat made with natural ingredients that guarantees satisfaction with every bite.
A crispy exterior that brings a fun crunch and a soft center that oozes with deliciousness.
Highly Palatable Treats
Crispy Crust Creamy Inside
Taurine Added
Lignocellulose Added

IngredientsPea starch, Dehydrated poultry proteins, Maize, Maize protein, Coconut oil, Poultry fat, Potato starch, Hydrolyzed chicken proteins, Brewer’s yeast (1%), Cellulose, Fructooligosaccharides, Dried krill (0.3%), Minerals, Yeast cell walls, Yucca SchidigeGuaranteed AnalysisCrude Protein Min 26 %Fat Content Min 17.5 %Crude Fiber Max 3.5 %Moisture Max 10 %Calories Content : 4225 Kcal/Kg



FEEDING RECOMMENDATIONالتغذيه


Weight - الوزن

Amount - الكميه




2 kg

8 pcs/day - قطعه في اليوم



4 kg

12 pcs/day - قطعه في اليوم


6 kg
16 pcs/day - قطعه في اليوم",Kit Cat,13.0,//aleef.com/cdn/shop/products/KitCatPurrfectPocketsSkinAndCoatCareTreatsforcats60g.jpg?v=1677501098
12,Kit Cat Breath Bites Treats Checkin Flavor 60g,"Kit Cat Breath Bites Treats Checkin Flavor 60gBursting with the tasty flavors your cat will love, these crunchy treats are specially designed to help keep your cat’s teeth clean by reducing plaque and tartar when fed dailyInfused with mint for fresh breath",Kit Cat,9.0,//aleef.com/cdn/shop/products/671875797045.jpg?v=1658656185
13,"Kit Cat Sticks Chicken &amp; Wild Berries Grain Free Treats For Cats, 3×5g","Kit Cat Sticks Chicken & Wild Berries Grain Free Treats For Cats, 3×5g

A rewarding treat that is perfect for your cats. and highly Palatable Treat
A grain-free and meaty snack to encourage play and keep your pets active.
Made with premium quality animal protein, added minerals and vitamins
Improve your cat’s digestion
All Life Stages
Taurine Added
Grain Free & Gluten Free

IngredientsChicken, Chicken Meal, Wild Berries (4%), Dried Yeast, Sodium ChlorideGuaranteed Analysis

Protein42%
Fat Content18%
Fiber1%
Ash6%
Moisture27%

Calorie Content: 16.1 Kcal/ Stick




Feeding Recommendation التغذية




Cat weight وزن القط


Amount الكميه




2kg


1 stick/ day




4kg


1 stick/ day




6kg


1.5 sticks/ day




Store in a cool and dry place. Avoid direct sunlight. تخزينها في مكان بارد وجاف. تجنب أشعة الشمس المباشرة.",Kit Cat,10.0,//aleef.com/cdn/shop/products/KitCatSticksChicken_WildBerriesGrainFreeTreatsForCats_3x5g.jpg?v=1676442341
