,Name,Description,Brand,Price,Image
0,Fida poop-bag Replacement,Fida poop-bag Replacement A pack of 6 refill rolls for your poo bag holder.,Fida,19.2,//aleef.com/cdn/shop/products/6951135202750.jpg?v=1658654149
1,Simple Solution Extreme Stain and Odour Remover for Dogs,"Professional strength formula contain ProBacteria producing enzymes to eliminate tough dog stains and odours.Helps prevent repeat marking.For cleaning carpets, upholstery, bedding, clothing, any water-safe surface.500ml",Simple Solution,50.0,//aleef.com/cdn/shop/products/010279901373.jpg?v=1658653602
2,ADHESIVE ROLLER REFILL COLLECTS ANAH for Dogs,"ADHESIVE ROLLER REFILL COLLECTS ANAH for Dogs The refill for the Anah hair catcher adhesive roller allows you to easily and quickly remove the dog""s hair from textile surfaces (clothing, furniture, car seats, etc.). It contains 60 pre-cut sticky sheets (16.5 x 10 cm).",Zolux,14.0,//aleef.com/cdn/shop/products/3336024708392.jpg?v=1658654820
3,"Beaphar Toothpaste for Cats & Dogs, Liver Flavoured 100g","Beaphar Toothpaste for Cats & Dogs, Liver Flavoured 100g


Specially formulated for dogs and cats
Its regular use will make bad-breath or expensive dental treatments less likely. 
Toothpaste is readily accepted, due to its meaty flavour, and regular tooth brushing can become a fun part of your pet's oral hygiene routine.
Brushing helps dislodge plaque, then the toothpaste’s special formula goes into action, with two enzymes that fight bad bacteria and help break down hidden plaque.
Suitable for dogs and cats.


Ingredients: 


Zinc, Sodium tripolyphosphate, Protease, Glucose oxidase


InstructionsIt is important to introduce your pet to teeth cleaning slowly.1. Lift your pet’s lips to expose the teeth. Reinforce this by giving them lots of praise.2. Once your pet is used to having their mouth touched on the outside, start running your finger along their teeth.3. When they are accustomed to this, introduce them to a small amount of Beaphar Toothpaste. Place some on your finger.4. When they are used to the taste and texture of the toothpaste, and having their mouth touched you can start to introduce the  Toothbrush.Always have drinking water available.",Beaphar,44.0,//aleef.com/cdn/shop/products/BeapharToothpasteforCats_Dogs_LiverFlavoured.jpg?v=1672904188
4,"Beaphar Fresh Breath Spray for cats & dogs, 150ml","Beaphar Fresh Breath Spray for cats & dogs, 150ml

An easy-to-use product that fights bad breath, plaque and tartar in your furry dog friend.
Beaphar Fresh Breath Spray for dogs contains natural enzymes that break down plaque and prevent tartar formation.
It also contains ingredients that bind calcium, which is a major component of tartar.
By spraying this product on your dog’s teeth daily, you can help to keep their mouth hygienic and their teeth cleaner.
Beaphar Fresh Breath Spray for Dogs is suitable for cats and dogs of all ages and breeds.
It has a pleasant taste that your pet will love.
Beaphar Fresh Breath Spray for dogs is a must-have product for any pet owner who cares about their pet’s dental health.
Order yours today and see the difference it makes!

Instructions

ALWAYS FULLY READ THE PRODUCT LABEL BEFORE USE.
Spray 3–4 pumps onto your pet's teeth from a distance of 5–10cm. It is recommended to repeat this daily for optimum benefit.
If bad breath persists it may be a sign of tooth decay, and you should seek veterinary advice. Teeth heavily coated in tartar may need veterinary attention.
Always have fresh drinking water available.",Beaphar,40.0,//aleef.com/cdn/shop/files/BeapharFreshBreathSprayforcats_dogs_150ml.jpg?v=1684394495
5,"Simple Solution Pet Urine Destroyer for cats and dogs, 1L","Are you tired of battling persistent pet odors and stains in your home? Simple Solution Pet Urine Destroyer is your ultimate weapon against the toughest urine messes left by your beloved cats and dogs. Our powerful formula is here to rescue your home and your peace of mind.


Simple Solution Pet Urine Destroyer for cats and dogs Features:




Advanced Odor Neutralization: Our pet urine destroyer is specially formulated to eliminate even the most stubborn pet odors, leaving your home smelling fresh and clean.


Triple-Action Formula: This powerful solution not only removes odors but also breaks down the toughest urine stains, ensuring a thorough clean.


Safe for Pets and Kids: Our pet-friendly formula is gentle and safe for both pets and children, providing a worry-free solution for your home.


Enzyme-Powered: Harnessing the power of natural enzymes, it targets the source of odors, eradicating them from the root.


Multi-Surface Versatility: Whether on carpets, upholstery, or hard surfaces, our pet urine destroyer works effectively to restore cleanliness and freshness.


Trusted Brand: Simple Solution is a name you can trust for over 30 years, known for its innovative solutions to pet-related challenges.


Ingredients:

Water, Bio-Cultured Bacteria, Non-Pathogenic Bacteria, Enzymes, Surfactants, Isopropanol, Natural Citrus Scent.

Directions for Use:

Remove any solid waste and blot the stained area with a clean cloth or paper towel.
Shake well and saturate the affected area with Simple Solution Pet Urine Destroyer.
Allow the solution to penetrate the stain for at least 10 minutes.
Blot the treated area to remove excess moisture. For carpets and upholstery, use a wet vacuum if available.
Ensure thorough drying and repeat if necessary for stubborn stains.

Say goodbye to the frustration of pet urine stains and odors in your home. Choose Simple Solution Pet Urine Destroyer for an effective, safe, and reliable solution to keep your living space fresh and inviting. Enjoy a clean and odor-free home with your furry companions.
Revitalize your home today with Simple Solution Pet Urine Destroyer. Order now and experience the difference it makes in maintaining a clean and pleasant living environment for both you and your pets.
Aleef Store, The destination for your pet care supplies.",Simple Solution,56.0,//aleef.com/cdn/shop/files/SimpleSolutionPetUrineDestroyerforcatsanddogs_1L.jpg?v=1698228501
6,Beaphar Dogs Dental Kit,"This dental kit from Beaphar contains both toothpaste and  a twin-headed toothbrush. It's the perfect and complete dental kit to start taking care of your pet's teeth and gums, and is suitable for all sizes of dog.",Beaphar,45.0,//aleef.com/cdn/shop/products/8711231153039.jpg?v=1658654479
7,Sanal Eye Cleaner 50ml,"Before use, please check if there is no infection or another condition which asks for veterinary assistance. If not, gently put 3 drops in the lower eyelid. Let your pet blink his eyes. Use a cotton ball with some Sanal Eye Cleaner on it to wipe around the eye until the dirt comes off. Repeat 1 to 2 times per week.",Sanal,41.0,//aleef.com/cdn/shop/products/8711908606004.jpg?v=1658653459
8,Simple Solution Stain & Odor Remover For Dogs 1 L,"Simple Solution Stain & Odor Remover For Dogs 1 LREMOVES PET STAINSUNIQUE PRO-BACTERIA FORMULAMULTIPLE USESVERSATILE CLEANINGIngredientsPurified water, natural non-pathogenic bacteria, denatured ethanol, natural enzymes, detergent and fragranceInstructionsSaturate the soiled area. When treating carpet, cover twice the size of the mess and be sure to saturate the carpet backing and padding.Let sit for 10 minutes for the enzymes to break down the organic proteins. Blot excess spill with a colour-safe cloth.Allow the area to dry naturally, which may take 24-48 hours. When dry, the stain and odour will disappear.",Simple Solution,52.0,//aleef.com/cdn/shop/products/010279904237.jpg?v=1658653629
9,"Simple Solution Dog Stain and Odour Remover, 750ml","Unique formula contains Pro-Bacteria producing enzymes -specific to pet messes- working together to organically remove urine, faeces and vomit stains and odours.Quickly neutralises odours instead of covering them u.Helps prevent repeat marking.Safe for use around pets and children when used as directed. 750mlHow to Use",Simple Solution,52.0,//aleef.com/cdn/shop/products/010279904220.jpg?v=1658655520
