,Name,Description,Brand,Price,Image
0,SmartyKat Triple Tower Cat Toy,"SmartyKat Triple Tower Cat ToyScratching helps cats stretch, tone muscles and even helps alleviate stress. Smarty Kat Triple tower has 3 scratch-able surfaces cats love!Smarty Kat triple tower provides vertical scratching in a sky-high post!3 interchangeable and refrangible sections offer multiple textures of burlap, carpet and jute 2 bonus toys are includedIt's 100% safe for your favourite cat",Smartykat,143.0,//aleef.com/cdn/shop/products/140f9365616ff603c07db2026d9a990f3d003cb8.jpg?v=1658656833
1,Zolux Wall Scratch Post,Zolux Wall Scratch Post It can be mounted on the wall or on the ground Dimensions: Height: 56 cmLength12 cmWidth: 2.5 cm,Zolux,36.0,//aleef.com/cdn/shop/products/Zolux_Wall_Scratch_Post_Blue.jpg?v=1663487542
2,Petlinks Claw Cone Cat Scratcher,Petlinks Claw Cone Cat ScratcherPETLINKS Claw Cone Seagrass Scratcher is a cone-shaped scratcher with a catnip-filled mouse toy and dangling ribbons.DESIGNED to be durable and satisfying for your cat.FEATURES a dangling ribbons that entice your cat to play.MADE with tightly wound seagrass rope for moderate to aggressive scratchers.OFFERS a texture that cats love to sink their claws into.,PetLinks,165.0,//aleef.com/cdn/shop/products/786306492076.jpg?v=1658654667
3,Zolux wall scratching pole,"Zolux wall scratching pole It's a scratcher that can be hanged in the wall for your kitty to satisfy it's scratching insticts , and prevents the claw from growing.It can be used for both sidesSatisfys your cat scratching insticts andprevent the claw from growing toolong. It helps them to relaxDimensions :64x31x31cm",Zolux,150.0,//aleef.com/cdn/shop/products/Zoluxwallscratchingpolegray.jpg?v=1667202401
4,Feline Go Scratching Tree a swing bed for cats,"Introducing our Feline Go Cat Tree Scratcher - the epitome of feline luxury! This chic cat tree combines style and function, providing your cat with the ultimate comfort and entertainment.
Feline Go Scratching Tree a platform and Igloo for cats Features:


Durable Construction: A durable scratching crafted with lasting materials for playful durability. 


Multi Design: A cozy swing bed for varied cat adventures.


Premium Scratching Posts: Sisal scratching posts to maintain healthy claws.


Cozy Swing Bed: Cozy cat swing bed Plush retreat for cat relaxation and snoozing.


Easy Assembly: easy assembly cat tree simple setup for instant cat delight.


Measurements:

Elevate your cat's lifestyle with Feline Go - where luxury meets playfulness. Because your feline friend deserves nothing but the best!
Aleef Store, The destination for your pet care supplies.",Feline Go,270.0,//aleef.com/cdn/shop/files/FelineGoScratchingTreeaswingbedforcats.jpg?v=1700124008
5,Feline Go Scratching Tree a 4 platforms and Igloo for cats,"Introducing our Feline Go Cat Tree Scratcher - the epitome of feline luxury! This chic cat tree combines style and function, providing your cat with the ultimate comfort and entertainment.
Feline Go Scratching Tree a platform and Igloo for cats Features:


Plush Purrfection: Treat your cat to the irresistibly soft and fluffy top for luxurious napping.


Ultimate Scratching Sanctuary: Durable scratching post wrapped in sisal rope saves your furniture from scratches.


Playful Distractions: Three dangling balls engage your cat in endless playful antics.


Stylish Home Accent: Modern design seamlessly blends with your interior, enhancing your space.


Sturdy and Stable Construction: Robust wooden base ensures safety during vigorous play.


Easy Assembly: User-friendly instructions make setup a breeze for cat parents.


Measurements:

Elevate your cat's lifestyle with Feline Go - where luxury meets playfulness. Because your feline friend deserves nothing but the best!
Aleef Store, The destination for your pet care supplies.",Feline Go,470.0,//aleef.com/cdn/shop/files/FelineGoScratchingTreea4platformsandIglooforcats.jpg?v=1700056777
6,Feline Go Scratching Tree a platform and Igloo for cats,"Introducing our Feline Go Cat Tree Scratcher - the epitome of feline luxury! This chic cat tree combines style and function, providing your cat with the ultimate comfort and entertainment.
Feline Go Scratching Tree a platform and Igloo for cats Features:


Plush Purrfection: Treat your cat to the irresistibly soft and fluffy top for luxurious napping.


Ultimate Scratching Sanctuary: Durable scratching post wrapped in sisal rope saves your furniture from scratches.


Playful Distractions: Three dangling balls engage your cat in endless playful antics.


Stylish Home Accent: Modern design seamlessly blends with your interior, enhancing your space.


Sturdy and Stable Construction: Robust wooden base ensures safety during vigorous play.


Easy Assembly: User-friendly instructions make setup a breeze for cat parents.


Measurements:

Elevate your cat's lifestyle with Feline Go - where luxury meets playfulness. Because your feline friend deserves nothing but the best!
Aleef Store, The destination for your pet care supplies.",Feline Go,310.0,//aleef.com/cdn/shop/files/FelineGoScratchingTreeaplatformandIglooforcats.jpg?v=1700055463
7,Feline Go Scratching Tree 3 levels and Igloo for cats,"Introducing our Feline Go Cat Tree Scratcher - the epitome of feline luxury! This chic cat tree combines style and function, providing your cat with the ultimate comfort and entertainment.
Feline Go Scratching Tree 3 levels and Igloo for cats Features:


Plush Purrfection: Treat your cat to the irresistibly soft and fluffy top for luxurious napping.


Ultimate Scratching Sanctuary: Durable scratching post wrapped in sisal rope saves your furniture from scratches.


Playful Distractions: Three dangling balls engage your cat in endless playful antics.


Stylish Home Accent: Modern design seamlessly blends with your interior, enhancing your space.


Sturdy and Stable Construction: Robust wooden base ensures safety during vigorous play.


Easy Assembly: User-friendly instructions make setup a breeze for cat parents.


Measurements:

Elevate your cat's lifestyle with Feline Go - where luxury meets playfulness. Because your feline friend deserves nothing but the best!
Aleef Store, The destination for your pet care supplies.",Feline Go,335.0,//aleef.com/cdn/shop/files/FelineGoScratchingTree3levelsandaIglooforcats.jpg?v=1700054718
8,Feline Go Scratching Tree 2 levels and a bed & Igloo for cats,"Introducing our Feline Go Cat Tree Scratcher - the epitome of feline luxury! This chic cat tree combines style and function, providing your cat with the ultimate comfort and entertainment.
Feline Go Scratching Tree 2 levels and a bed & Igloo for cats Features:


Plush Purrfection: Treat your cat to the irresistibly soft and fluffy top for luxurious napping.


Ultimate Scratching Sanctuary: Durable scratching post wrapped in sisal rope saves your furniture from scratches.


Playful Distractions: Three dangling balls engage your cat in endless playful antics.


Stylish Home Accent: Modern design seamlessly blends with your interior, enhancing your space.


Sturdy and Stable Construction: Robust wooden base ensures safety during vigorous play.


Easy Assembly: User-friendly instructions make setup a breeze for cat parents.


Measurements:

Elevate your cat's lifestyle with Feline Go - where luxury meets playfulness. Because your feline friend deserves nothing but the best!
Aleef Store, The destination for your pet care supplies.",Feline Go,470.0,//aleef.com/cdn/shop/files/FelineGoScratchingTree2levelsandabed_Iglooforcats.jpg?v=1700052451
9,Feline Go Scratching Tree 1 level and a cube Igloo for cats,"Introducing our Feline Go Cat Tree Scratcher - the epitome of feline luxury! This chic cat tree combines style and function, providing your cat with the ultimate comfort and entertainment.
Feline Go Scratching Tree 4 levels and a bed for cats Features:


Plush Purrfection: Treat your cat to the irresistibly soft and fluffy top for luxurious napping.


Ultimate Scratching Sanctuary: Durable scratching post wrapped in sisal rope saves your furniture from scratches.


Playful Distractions: Three dangling balls engage your cat in endless playful antics.


Stylish Home Accent: Modern design seamlessly blends with your interior, enhancing your space.


Sturdy and Stable Construction: Robust wooden base ensures safety during vigorous play.


Easy Assembly: User-friendly instructions make setup a breeze for cat parents.


Measurements:

Elevate your cat's lifestyle with Feline Go - where luxury meets playfulness. Because your feline friend deserves nothing but the best!
Aleef Store, The destination for your pet care supplies.",Feline Go,295.0,//aleef.com/cdn/shop/files/FelineGoScratchingTree1levelandacubeIglooforcats.jpg?v=1700050834
10,Feline Go Scratching Tree 1 level and a Igloo for cats,"Introducing our Feline Go Cat Tree Scratcher - the epitome of feline luxury! This chic cat tree combines style and function, providing your cat with the ultimate comfort and entertainment.
Feline Go Scratching Tree 1 level and a Igloo for cats Features:


Plush Purrfection: Treat your cat to the irresistibly soft and fluffy top for luxurious napping.


Ultimate Scratching Sanctuary: Durable scratching post wrapped in sisal rope saves your furniture from scratches.


Playful Distractions: Three dangling balls engage your cat in endless playful antics.


Stylish Home Accent: Modern design seamlessly blends with your interior, enhancing your space.


Sturdy and Stable Construction: Robust wooden base ensures safety during vigorous play.


Easy Assembly: User-friendly instructions make setup a breeze for cat parents.


Measurements:

Elevate your cat's lifestyle with Feline Go - where luxury meets playfulness. Because your feline friend deserves nothing but the best!
Aleef Store, The destination for your pet care supplies.",Feline Go,195.0,//aleef.com/cdn/shop/files/FelineGoScratchingTree1levelandaIglooforcats.jpg?v=1700050361
