,Name,Description,Brand,Price,Image
0,"Simple Solution Cage & Hutch Spray Cleaner,For Small Animals 500mL&nbsp;","Simple Solution Cage & Hutch Spray Cleaner,For Small Animals 500mL


Leaves your hutch and cage smelling clean and fresh
Helps prevent limescale build-up
Made from the kindest, most effective natural oils including clove leaf, eucalyptus and peppermint
Cleans and freshens cages and hutches easily and effectively
Safe to use on all small furry animal homes as well as feeding equipment
Do not apply directly to animals
500ml Trigger Spray",Simple Solution,42.0,//aleef.com/cdn/shop/products/SimpleSolutionCage_HutchSprayCleaner_ForSmallAnimals500mL.jpg?v=1671863202
1,"Zolux Rody-3 ""Trio"" Cage","Zolux Rody-3 ""Trio"" CageDimensions of bare product : Width x depth x height 410x270x530 mm",Zolux,195.0,//aleef.com/cdn/shop/products/ZoluxRody-3TrioCage1.jpg?v=1667814501
2,MPS Baldo 140 Cage suitable for small animals,"MPS Baldo 140 Cage suitable for small animals

Large cage with large mesh wire mesh. 
Solid cage for rodents for indoor use.
The bars are made of metal and the cage bottom of solid plastic.
The bars are fastened to the bottom with two clamps in order to be able to dismantle the cage when it needs cleaning.
comes with a feed rack to avoid that hay and litter lying in the bottom of the cage.
Equipped with double-side safety closure and complete with the crib.

Note:

This product is sold by colour availability.

Size:

100×53×46 cm",MPS,303.1,//aleef.com/cdn/shop/products/MPSBaldo140Cagesuitableforsmallanimals.jpg?v=1675323969
3,"MPS Baldo 100 Cage suitable for small animals, Multiple Colours","MPS Baldo 100 Cage suitable for small animals, Multiple Colours

Large cage with large mesh wire mesh. 
Solid cage for rodents for indoor use.
The bars are made of metal and the cage bottom of solid plastic.
The bars are fastened to the bottom with two clamps in order to be able to dismantle the cage when it needs cleaning.
comes with a feed rack to avoid that hay and litter lying in the bottom of the cage.
Equipped with double-side safety closure and complete with the crib.

Note:

This product is sold by colour availability.

Size:

100×53×46 cm",MPS,195.0,//aleef.com/cdn/shop/products/MPSCagesuitableforsmallanimals_MultipleColours1.jpg?v=1690117919
4,"Zolux
  Rody-3 ""Mini"" Cage","Zolux Rody-3 ""Mini"" CageA small size cage for yellow rodents is the right home for those small rodents. It has food and water places, as well as various games for play and fun, and its size is suitable to carry with you on trips and transfers.Dimensions of bare product : Width x depth x height 330x220x180 mm",Zolux,80.0,//aleef.com/cdn/shop/products/ZoluxRody-3MiniCage1.jpg?v=1667803644
5,Fence cage 122.5x72.5x7.5cm,"- High quality- Easy to navigate- Durable and rust-resistantThe edges are round in shape to prevent injury to your pet",Feandrea,400.0,//aleef.com/cdn/shop/products/PPK04GY_ff9155cb-044a-4c3b-8543-fff787f6b167.jpg?v=1658656209
6,MPS Gabbia Hamster Cage,"MPS Gabbia Hamster Cage

The top of the cage is completely or half removable
Easy access for cleaning from above
See-through plastic top of the cage
Fully equipped cage
Quick and safe locking

Size:

45×27×27 cm",MPS,140.0,//aleef.com/cdn/shop/products/MPSGabbiaHamsterCage.jpg?v=1675324721
7,Zolux Roddy one round cage medium size yellow color for rodents,"Medium size cages from Zolux Rody Company for rodentsIt is transparent in order to allow the breeder to see and monitor the animal permanentlyAvailable in games for entertainment and funLuxurious with a special place for food and drinkEasy to carry and move around: the size 28x27x41 سم",Zolux,120.0,//aleef.com/cdn/shop/products/3336022060164.jpg?v=1658655579
8,"Zolux
  Rody-3 ""Solo"" Cage",Dimensions of bare product : Width x depth x height 410x270x280 mm,Zolux,120.0,//aleef.com/cdn/shop/products/ZoluxRody-3SoloCage.jpg?v=1667650715
9,"Zolux
  Rody-3 ""Solo"" Cage",Dimensions of bare product : Width x depth x height 410x270x280 mm,Zolux,120.0,//aleef.com/cdn/shop/products/ZoluxRody-3SoloCageRed.jpg?v=1667650965
10,زولكس رودي دور واحد قفص حجم وسط لون ازرق للقوارض,اقفاص بحجم وسط من شركة زولكس رودي للقوارض    يتميز بشكل شفاف حتى يسمح للمربي برؤية ومراقبة الحيوان بشكل دائم متوفر بداخله العاب للتسلية والمرح مترفة فيه مكان خاص للطعام والشرب سهل الحمل والتنقل فيه   : الحجم   28x27x41 سم,Zolux,120.0,//aleef.com/cdn/shop/products/3336022060171.jpg?v=1658655577
11,Zolux RodyLounge Custom Kit x1,The set contains:1x Plastic handle9x Clips to close the cage4x Plugs for closing open tunnels or cage holes,Zolux,12.12,//aleef.com/cdn/shop/products/3336022059564.jpg?v=1682919548
12,Zolux Rody-3 Duo Cage,Dimensions of bare product : Width x depth x height 410x270x530 mm,Zolux,160.0,//aleef.com/cdn/shop/products/ZoluxRody-3DuoCage1.jpg?v=1667734645
13,ام بي اس بالدو قفص قوارض,"ام بي اس بالدو قفص قوارض

سهل التركيب والتنظيف
مزود بشبك متين غير حاد
مجهز بقفل امان مزدوج من الجانبين
مصنوع من مواد ذات جودة عالية

المقاسات التقريبية:

45*58*118 سم",MPS,260.0,//aleef.com/cdn/shop/files/8022967069328_1.jpg?v=1686562784
14,Fence cage 122.5x72.5x7.5cm,"- High quality- Easy to navigate- Durable and rust-resistantThe edges are round in shape to prevent injury to your pet",Feandrea,400.0,//aleef.com/cdn/shop/products/PPK04BK_4cdb1dad-5e77-443f-99c5-3486ac332004.jpg?v=1658656211
15,"MPS suitable for small animals, Multiple Colours","MPS suitable for small animals, Multiple Colours

Solid cage for rodents for indoor use.
The bars are made of metal and the cage bottom of solid plastic.
The bars are fastened to the bottom with two clamps in order to be able to dismantle the cage when it needs cleaning.
comes with a feed rack to avoid that hay and litter lying in the bottom of the cage.
Equipped with double-side safety closure and complete with the crib. 

Note:

This product is sold by colour availability.

Size:

58×32×34 cm cm",MPS,97.02,//aleef.com/cdn/shop/products/MPSsuitableforsmallanimals_MultipleColours.jpg?v=1675495491
16,Double Door Folding Metal Pet Crate,"Double Door Folding Metal Pet Crate

Ideal for house training puppies and small dogs
A traditional door on the front and a second door on the top
Sets up easily in seconds, no tools required
A removable, washable plastic pan at the bottom for easy cleanup
Folds flat for easy storage


Size:

Small: 75 × 48 × 57 cm
Large: 90 × 58 × 68 cm",متجر اليف,161.7,//aleef.com/cdn/shop/products/CatandDogDoubleDoorFoldingMetalPetCrate.jpg?v=1676721199
17,MPS Eva 22 Cage for small pets,"MPS Eva 22 Cage for small pets

Large cages for those who like to have a whole colony of hamsters and small rodents.
With wooden shelves for a better well-being of our little friend and “mouse” net with a narrower pitch.
Complete with house and wheel.

Size:

78.5×44.5x74 cm",MPS,375.0,//aleef.com/cdn/shop/products/MPSEva22Cageforsmallpets.jpg?v=1675332862
18,Zolux RodyLounge Extension House - blue,A little extra room for your pet's cage!Made in PRC,Zolux,5.77,//aleef.com/cdn/shop/products/3336022059502.jpg?v=1658656733
19,Zolux RodyLounge Extension House - red,A little extra room for your pet's cage!Made in PRC,Zolux,5.77,//aleef.com/cdn/shop/products/3336022059519.jpg?v=1658656732
20,Zolux RodyLounge Extension House - purple,A little extra room for your pet's cage!Made in PRC,Zolux,5.77,//aleef.com/cdn/shop/products/3336022059526.jpg?v=1658656730
