,Name,Description,Brand,Price,Image
0,"<tc>Stefanplast Airtight Pet Snack-box, 2.2L</tc>","Stefanplast Airtight Pet Snack-box, 2.2L

Equipped with a rubber airtight closing to stock up on food and keep it fresh and crispy.
Transparent material for easy checking of contents.
Refined design for a secure grip.

Size: 

15.5x10x19.5 cm
2.2 L",Stefanplast,40.0,//aleef.com/cdn/shop/products/StefanplastAirtightPetSnack-box_2.2L.jpg?v=1673853764
1,Zolux wall-mounted feeder,"A modern design for this new range of birds' autumnal colours will bring happiness to your garden or your terrace. The materials used, metal and plastic, of good quality will withstand the harshest winters. Product Dimensions: 16x9x29.5 cm Weight: 0.19 kg",Zolux,42.0,//aleef.com/cdn/shop/products/Zoluxwall-mountedfeeder1.jpg?v=1668593059
2,Prevue Pet PARROT PLAYGROUND Two water or treat cups & toy,"Prevue Pet PARROT PLAYGROUND Two water or treat cups & toyTwo water or treat cups & toyDesigned for Parrots and other large birdsProvides your bird with necessary exercise and stimulation. Laminated floor for easy cleaningHefty hardwood construction for parakeets & small birdsConstructed from pine hardwood and pet-safe fiberboard and features 100% safeOverall Size21"" L x 18"" W x 23"" H",Prevue Pet,275.0,//aleef.com/cdn/shop/products/PrevuePetPARROTPLAYGROUNDTwowaterortreatcups_toy.jpg?v=1664176941
3,Zolux Bird Feeder,Suitable for gardensFor small birdsAgainst water and sun,Zolux,44.86,//aleef.com/cdn/shop/products/ZoluxSmallBirdFeedersuitableforgardening.jpg?v=1676274463
4,Zolux Feeder For Birds,Zolux Feeder For BirdsThe perfect parrot feeder made with a high quality plastic made in france.,Zolux,104.5,//aleef.com/cdn/shop/products/3336021343527.jpg?v=1658654906
5,مأكلية للطيور الصغيرة مناسبة للحدائق حجم كبير,"مناسب للحدائق المنزلية والحدائق العامة 
للطيور الصغيرة 
ضد الماء والشمس",Zolux,66.69,//aleef.com/cdn/shop/products/3336021701136.jpg?v=1658654887
6,مأكلية الطيور صغيرة مناسبة للحدائق حجم صغير,"مناسب للحدائق المنزلية والحدائق العامة
للطيور الصغيرة
ضد الماء والشمس",Zolux,54.57,//aleef.com/cdn/shop/products/3336021701020.jpg?v=1658653668
7,Zolux Stainless bowl with hooks for Birds,"Zolux Stainless bowl with hooks for Birds 

Bird Feeder Birds Bowls Stainless Steel Dishes.
Dishes with Wire Hook
Lightweight
Non-porous and does not contain microscopic cavities, edges, or cracks





الحجم - Sizes


السعه - Capacity


Diameter - القطر




صغير جدا - X-Small


140mL


7cm




صغير - Small


260mL


9cm




وسط- Medium


560mL


13cm




كبير - Large


840mL


15cm",Zolux,8.0,//aleef.com/cdn/shop/products/ZoluxStainlessbowlwithhooksforBirds.jpg?v=1679825507
8,Zolux stainless steel bird bowl for fixing,"Zolux stainless steel bird bowl for fixing

steel is easy to install and remove
This stainless steel bird bowl can be removed by a twist and lift.
Quality Stainless Steel offers: Rust & Corrosion Resistance;
Solid quality: Metal bowls
steel easy to clean
Suit for most cages




الحجم - Sizes
السعه - Capacity
Diameter - القطر


صغير جدا - X-Small
260mL
9cm


صغير - Small
560mL
12cm


وسط- Medium
840mL
15cm


كبير - Large
1.34L
18.30cm",Zolux,10.0,//aleef.com/cdn/shop/products/Zoluxstainlesssteelbirdbowlforfixing.jpg?v=1679826437
9,"<tc>Stefanplast Airtight Pet Snack-box, 1.2L</tc>","Stefanplast Airtight Pet Snack-box, 1.2L

Equipped with a rubber airtight closing to stock up on food and keep it fresh and crispy.
Transparent material for easy checking of contents.
Refined design for a secure grip.

Size: 

15.5X10X12 cm
1.2 L",Stefanplast,32.0,//aleef.com/cdn/shop/products/StefanplastAirtightPetSnack-box_1.2L.jpg?v=1673853368
