,Name,Description,Brand,Price,Image
0,Birba Litter Box Small,Birba Litter Box SmallHigh qualityEasy to cleanMade in ItalyLITTER TRAY 38 x31x9hFRAME 38x31x8h,MP Bergamo,19.0,//aleef.com/cdn/shop/products/BirbaLitterBoxAll.jpg?v=1666506499
1,Birba Litter Box Medium,"Birba Litter Box MediumHigh qualityEasy to cleanMade in ItalyLITTER TRAY 46x35x10h
FRAME 46x35x10h",MP Bergamo,32.0,//aleef.com/cdn/shop/products/BirbaLitterBoxMediumAll.jpg?v=1666505809
2,"MPS Hydra Litter tray without frame for Cats, Multiple Colours, Large","MPS Hydra Litter tray without frame for Cats, Large

Size:

52 x 37x 12 cm",MPS,28.0,//aleef.com/cdn/shop/products/MPSHydraLittertraywithoutframeforCats_MultipleColours.jpg?v=1675072193
3,Bergamo Cat Litter Basin With Filter,"Bergamo Cat Litter Basin With Filter 
 
Shiny floor
Easy to use and practical
Size:
59X39X.5X23cm 
Made in Italy 
Tutorial Video",MP Bergamo,95.0,//aleef.com/cdn/shop/products/BergamoCatLitterBasinWithFilter4.jpg?v=1665295626
4,<tc>Stefanplast Sprint 10 Litter box for Cats</tc>,"Stefanplast Cathy Griffe Litter box for Cats

A toilet for small sized cats.
It is provided with an hygienic rim that can be used also as a bag holder and that will allow you to more easily change litter, without wasting it or getting the floor dirty.

Size: 

31x43x14 cm",Stefanplast,20.0,//aleef.com/cdn/shop/products/StefanplastSprint10LitterboxforCats.jpg?v=1674022273
5,<tc>Stefanplast Queen Open Litter boxfor Big Sized Cats</tc>,"Stefanplast Queen Open Litter box for Big Sized Cats

Capacious and airy,
Perfect for big sized cats or more than one cat.
It is provided with a high hygienic rim.
The clips allow to remove the rim or keep it still and also to hold the hygienic bag still, in order to easily clean litter, without wasting it or getting the floor dirty.

Size:

55x71x24.5  cm",Stefanplast,124.0,//aleef.com/cdn/shop/products/StefanplastQueenOpenLitterboxforCats.jpg?v=1674041657
6,<tc>Stefanplast Très Chic Open Litter box for Cats</tc>,"Stefanplast Très Chic Open Litter box for Cats

Designed to make our pets feel more comfortable without compromising on style.
With an high hygienic rim to easily contain the litter. Wide, sturdy and easy to clean.

Size:

56x38.5x26 cm",Stefanplast,54.0,//aleef.com/cdn/shop/products/StefanplastTresChicOpenLitterboxforCats.jpg?v=1674023478
7,"Feline Go Cat Litter Tray With Strainer, Light green colour","Feline Go Cat Litter Tray With Strainer, Light green colour

Litter Tray With paws Strainer is a fun and functional product that adds a touch of cuteness to your cat’s litter box.
It works similarly to Litter Tray With Strainer, but with a twist: the strainer tray has paw-shaped holes that let the clean litter pass through, while the solid waste and clumps stay on top.
The non-strainer tray collects the clean litter and can be used as a replacement for the strainer tray.
It prevents tracking and scattering, as the clean litter stays in the tray and does not stick to your cat’s paws or fur.
Litter Tray With Paws Strainer is made of durable plastic that is easy to wash and sanitize.
It comes in different colours and sizes to suit your preference and your cat’s needs.
Litter Tray With Paws Strainer is a cute and clever solution for cat owners who want to make litter cleaning more enjoyable and less messy.

Size:

37.5x49.5x17.5 cm",Feline Go,30.0,//aleef.com/cdn/shop/files/FelineGoCatLitterTrayWithStrainer_Lightgreencolour.jpg?v=1692017317
8,MPS Medium Litter Try for cats,"MPS Medium Litter Try for cats


Made of durable plastic
Glossy finish for easy cleaning
Small suitable for kittens and small sized cats
Made in Italy


Note:

This Product sold by colour availability

Size

43x31x12 cm",MPS,20.0,//aleef.com/cdn/shop/products/MPSSmallLitterTryforcats_MultipleColours_65a55f84-c9d4-48f2-9c92-eab73bd14275.jpg?v=1675063716
9,"Feline Go Cat Litter Tray, Green Colour","Feline Go Cat Litter Tray, Green Colour

A cat litter tray is a container that is used to collect the faeces and urine of cats and other small pets.
It is usually filled with a material called litter, which absorbs the waste and reduces the odour.
It provides a convenient and hygienic way to dispose of your pet’s waste.
It prevents your pet from soiling in other areas of your home or garden.
It reduces the risk of spreading diseases or parasites from your pet’s waste.
It helps your pet feel comfortable and secure in their own territory.

Size:

Small: 37.5×49.5×15 cm
Large: 46×65.5×19 cm",Feline Go,50.0,//aleef.com/cdn/shop/files/FelineGoCatLitterTray_GreenColour.jpg?v=1692099810
10,"MPS Hydra Litter tray without frame for Cats, Small","MPS Hydra Litter tray without frame for Cats, Small

Practical litter tray, completed by a frame


Size:

42 x 33 x 12 cm",MPS,16.0,//aleef.com/cdn/shop/products/MPSHydraLittertraywithoutframeforCats_MultipleColours_fb33caf0-3e6b-4a5a-af05-7d5d53d0ef61.jpg?v=1675072371
11,<tc>Stefanplast Sprint 20 Litter box for Cats</tc>,"Stefanplast Sprint 20 Litter box for Cats

It is provided with an hygienic rim that can be used also as a bag holder and that will allow you to more easily change litter, without wasting it or getting the floor dirty.

Size: 

39x58x17 cm",Stefanplast,40.0,//aleef.com/cdn/shop/products/StefanplastSprint20LitterboxforCats.jpg?v=1674022719
12,"Feline Go Cat Litter Tray With Strainer, Light Blue colour","Feline Go Cat Litter Tray With Strainer, Light Blue colour

Litter Tray With paws Strainer is a fun and functional product that adds a touch of cuteness to your cat’s litter box.
It works similarly to Litter Tray With Strainer, but with a twist: the strainer tray has paw-shaped holes that let the clean litter pass through, while the solid waste and clumps stay on top.
The non-strainer tray collects the clean litter and can be used as a replacement for the strainer tray.
It prevents tracking and scattering, as the clean litter stays in the tray and does not stick to your cat’s paws or fur.
Litter Tray With Paws Strainer is made of durable plastic that is easy to wash and sanitize.
It comes in different colours and sizes to suit your preference and your cat’s needs.
Litter Tray With Paws Strainer is a cute and clever solution for cat owners who want to make litter cleaning more enjoyable and less messy.

Size:

37.5x49.5x17.5 cm",Feline Go,30.0,//aleef.com/cdn/shop/files/FelineGoCatLitterTrayWithStrainer_LightBluecolour.jpg?v=1692014556
