,Name,Description,Brand,Price,Image
0,Feline go cabin for cats 23003,Feline go cabin for cats 23003 It's a comfortable bed for cats that allows them also to have their own private space while sleeping and it will give you your own space too.,Feline Go,211.5,//aleef.com/cdn/shop/products/6957107323003.jpg?v=1658654671
1,"Prevue Pet Rhinoceros Footstool and Pet Igloo for cats and dogs, Brown colour","Prevue Pet Rhinoceros Footstool and Pet Igloo for cats and dogs, Brown colour


Features a fun and cosy hideout, an ideal napping spot for your cat or small dog.
The luxurious grey faux-leather fabric matches any home décor
Solid pinewood legs ensure stability
can be used as a lounging bed for your pet, a place to rest your feet, or both
Measures 88.9cm Long, 45.7 cm Wide, and 40.6 cm High",Prevue Pet,365.0,//aleef.com/cdn/shop/products/PrevuePetRHINOCEROSFootstoolandPetIgloo.jpg?v=1662794597
2,Prevue Pet HOLLYWOOD CHAIR and IglooFor Cats and Dogs55cm High,"Prevue Pet HOLLYWOOD CHAIR and IglooFor Cats and Dogs55cm High A glamorous and cosy hideout for your cat or small dog.  The day bed features a “U” shaped back to make your cat feel more secure and less vulnerable to sneak attacks.  Upholstered in an elegant and durable blue-grey fabric, the large hideaway is the perfect spot for napping and quiet time.A glamorous and cosy hideout for your cat or small dog
Daybed features a “U” shaped back to make cats feel secure A large hideaway is perfect for nappingGreat for pets and kids
49cm in Diameter and 55cm High",Prevue Pet,275.0,//aleef.com/cdn/shop/products/PrevuePetHOLLYWOODCHAIRandIglooForCatsandDogs55cmHigh.jpg?v=1662882353
3,Prevue Pet  Cozy Cap,"Prevue Pet  Cozy CapSuper soft, a plush hideaway for your cat or kittenA removable and reversible ultra-plush pillow sits inside the capPlush, dangling, swat toy encourages kitty to play18 ½’’ in Diameter and 17’’ HighOverall Size    18 1/2"" L x 18 1/2"" W x 17"" H",Prevue Pet,148.0,//aleef.com/cdn/shop/products/PrevuePetCozyCap2.jpg?v=1662795755
4,"Prevue Pet Dinosaur Footstool and Pet Igloo for cats and dogs, Green colour","Prevue Pet Dinosaur Footstool and Pet Igloo for cats and dogs, Green colour


Features a fun and cosy hideout, an ideal napping spot for your cat or small dog.
The luxurious grey faux-leather fabric matches any home décor
Solid pinewood legs ensure stability
can be used as a lounging bed for your pet, a place to rest your feet, or both
Measures 96.5 cm Long, 34.3 cm Wide, and 42.5  cm High",Prevue Pet,365.0,//aleef.com/cdn/shop/files/PrevuePetDinosaurFootstoolandPetIglooforcatsanddogs_Greencolour.jpg?v=1687703003
5,"Zolux  Naomi Snuggling Cushion Cover  For Cat, White Colour","Zolux Naomi Snuggling Cushion Cover For Cat, White Colour

New comfort range for cats ""Paloma"" in ultra soft and fluffy synthetic fur
Removable cushion . 

Built-in blanket: 

Ideal for snuggling up inside.

Decoration: 

Leather yoke with gold metal rivets.

Size: 

Diameter 45cm 
Thickness 10cm.",Zolux,130.0,//aleef.com/cdn/shop/products/ZoluxNaomiSnugglingCushionCoverForCat_WhiteColour.jpg?v=1671012830
6,"Zolux  Naomi Snuggling Cushion Cover  For Cat, Pink Colour","Zolux Naomi Snuggling Cushion Cover For Cat, Pink Colour

New comfort range for cats ""Paloma"" in ultra soft and fluffy synthetic fur
Removable cushion . 

Built-in blanket: 

Ideal for snuggling up inside.

Decoration: 

Leather yoke with gold metal rivets.

Size: 

Diameter 45cm
Thickness 10cm.",Zolux,130.0,//aleef.com/cdn/shop/products/ZoluxNaomiSnugglingCushionCoverForCatPinkColour.jpg?v=1671010486
7,"Zolux Paloma Snuggling Cushion Cover For Cat, White Colour","Zolux  Paloma  Snuggling Cushion Cover  For Cat, White ColourNew comfort range for cats ""Paloma"" in ultra soft and fluffy synthetic fur
Removable cushion . Built-in blanket: 
Ideal for snuggling up inside.
Decoration: 
Leather yoke with gold metal rivets.
Size: 
Diameter 45cm
Thickness 10cm.",Zolux,145.0,//aleef.com/cdn/shop/products/ZoluxPalomaSnugglingCushionCoverForCatWhiteColour.jpg?v=1671009724
8,"Zolux  Paloma  Snuggling Cushion Cover  For Cat, Black Colour","Zolux  Paloma  Snuggling Cushion Cover  For Cat, Black ColourNew comfort range for cats ""Paloma"" in ultra soft and fluffy synthetic fur
Removable cushion . Built-in blanket: 
Ideal for snuggling up inside.
Decoration: 
Leather yoke with gold metal rivets.
Size: 
Diameter 45cm
Thickness 10cm.",Zolux,145.0,//aleef.com/cdn/shop/products/ZoluxPalomaSnugglingCushionCoverForCatBlackColour.jpg?v=1671008411
9,Prevue Pet COZY CUBE For Cats and Small Dogs - 34 cm High Baige,"Prevue Pet COZY CUBE For Cats and Small Dogs - 34 cm High Baige Comfy, cosy hideout for your cat or small dogHideaway helps your cat or kitten feel more secure and avoid social stressNot intended to be used as seating by adults7'' diameter hideaway opening30.5 cm Long, 30.5 cm Wide, 34 cm High",Prevue Pet,102.0,//aleef.com/cdn/shop/products/PrevuePetCOZYCUBEForCatsandSmallDogs-34cmHighBaige.jpg?v=1662795487
