,Name,Description,Brand,Price,Image
0,Zolux Wooden Nest for Birds,"Zolux Wooden Nest for Birds

Made from 100% wood, because most birds prefer to make their nests in houses made of natural and untreated wood materials.
the attached hook for made from strong metal
it offers a safe place for birds to build their nests, protecting them from weather conditions and predators.
During the winter season, they give birds a place to huddle together for warmth away from the cold air.
A birdhouse is usually fashioned to resemble a house.
Before you build a birdhouse, you need to understand what nesting birds need and how best to meet those requirements with the house you construct.

Size= 15×23×19 cmDiameter of the entrance= 3.5cmWood thickness= 10mm",Zolux,70.0,//aleef.com/cdn/shop/products/ZoluxWoodenNestforBirds.jpg?v=1679907004
1,"Prevue Pet Empire, Cage For Large Bird, 200cm Height","Prevue Pet Empire  ,Cage For Large Bird ,200 cm HeightPowder-coated steel construction with roomy square top
Remove interior floor grille to add 10"" more of interior living space
Easy-to-assemble 
slip-in mesh panel construction, 
Flathead hex bolt parts assembly that birds cannot unscrew
Food/water cups are held securely in place and cannot be tipped or removed by birds
Pull-out grille and tray for easy cleaning
Cage stand base features easy-rolling casters
Measurement:
Large 50 cm L x 110 cm H double-locking front door
116.84 cm x 91.5 cm x 200 cm
Wire Spacing 3.5 cm",Prevue Pet,2355.0,//aleef.com/cdn/shop/products/PrevuePetEmpire_CageForLargeBird_200cmHigh.jpg?v=1670140620
2,"Prevue Pet SILVERADO MACAW , Bird Cage ,191cm Height","Prevue Pet SILVERADO MACAW , Bird Cage ,191cm HeightPowder-coated steel construction with a roomy dome top design
Easy-to-assemble slip-in mesh panel construction
With flathead hex bolt parts assembly that birds cannot unscrew
Food/water/treat bowls are held in place and cannot be tipped or removed by birds
Pull-out grille and tray for easy cleaning
The cage stand base features easy-rolling castersMeasurement:
116.9cm L x 91cm W x 191cm HLarge 50 cm L x 110 cm H double-locking front doorWire Spacing 3.5 cm",Prevue Pet,2355.0,//aleef.com/cdn/shop/products/PrevuePetSILVERADOMACAW_BirdCage_191cmHeight.jpg?v=1670224655
3,"<tc>Stefanplast Pet Carrier Mini Gulliver, For Birds & Small Pets</tc>","Stefanplast Pet Carrier Mini Gulliver, For Birds & Small Pets 


A handy and versatile carrier ideal for small birds or rodents.
It is provided with a practical handle and a transparent upper lid that can be opened. 
The numerous holes on the lid guarantee correct inside aeration and its transparency allow the light to enter more easily.


Size:40x30x24 cm",Stefanplast,64.0,//aleef.com/cdn/shop/products/StefanplastPetCarrierMiniGulliver.jpg?v=1673694095
4,MPS  Bird Cage Tiffany large,"Give your beloved bird the royal treatment with our spacious and elegant Tiffany Large Bird Cage by MPS. This beautifully designed cage offers the perfect blend of comfort, style, and security, ensuring your feathered companion feels right at home.


MPS Bird Cage Tiffany Features:




Spacious Abode: The Tiffany Large provides ample room for your bird to spread its wings, fly, hop, and play comfortably.


Stylish Design: Crafted with both aesthetics and functionality in mind, this cage is a tasteful addition to any room's décor.


Durable Construction: Built to last, the cage features sturdy materials and secure latches for your bird's safety.


Easy Access: Convenient openings and removable trays make cleaning and feeding a breeze.


Secure Locking: Keep your bird safe and sound with the cage's reliable locking mechanisms.


Versatile: Suitable for a variety of bird species, from parrots to cockatiels, providing a cozy haven for all.



Size:


72×55.5×123.5 cm

Spoil your fine-feathered friend with the MPS Bird Cage Tiffany Large. Elevate their living space while ensuring their happiness and safety. Give them the home they deserve. Order yours today!
Aleef Store, The destination for your pet care supplies.",MPS,1150.0,//aleef.com/cdn/shop/products/8022967041997_fc1c7075-b8ba-4015-b7e9-d5ebb62906db.jpg?v=1664445309
5,"Zolux
  PATIO  Cage For Birds or Canaries Size
  L","Zolux PATIO  Cage For Birds or Canaries Size LDimensions:H: 144 cm / L: 53 cm / D: 33 cmComes in two colours:Black & WhiteThe easy-to-assemble components of each model feature an original design.Contain:2 shelves1 tray2 wooden perches1 wooden swing2 plastic drinkersYour birds will enjoy absolute stability together with optimum comfort. The modern design of the new CHIC cages coordinates ideally with all interior styles. Industrial style or floral, the choice is yours!",Zolux,425.0,//aleef.com/cdn/shop/products/ZoluxPATIOCageForBirdsorCanariesSizeLB.jpg?v=1665044481
6,Ivonne Birdcage with top opening,"Ivonne Birdcage with top opening 

Metalic cage with plastic base: durable and easy-to-clean bird cage for your feathered friends
The top opening allows birds to enter and exit and rest on the perch above the birdcage.
Rust-resistant metal: provides ample space and ventilation for your birds, suitable for indoor and outdoor use
Plastic base with removable tray: collects the droppings and debris, making it easy to keep the bird cage clean and hygienic
Two perches, two feeders, and a swing: for your birds to enjoy, ideal for parrots, canaries, finches, and more
Suitable for short or long-haired birds ( parakeets, cockatiels, lovebirds).

Comes with:

2 drawers for easy
Includes 3 perches and 2 food bowls.

Size:

66 × 45 × 60 cm

Note: the wooden game is not included with the product",MPS,255.0,//aleef.com/cdn/shop/files/IvonneBirdcagewithtopopening.jpg?v=1684661998
7,"Zolux
  LOFT Cage For Birds and Canaries Size S",Zolux LOFT Cage For Birds and Canaries Size MComes in two colours:Black &nWhiteThe easy-to-assemble components of each model feature an original design.Dimensions:H: 113 cm / L: 38 cm / D: 24.5 cmContain:2 shelves1 tray2 wooden perches1 wooden swing2 plastic drinkers,Zolux,300.0,//aleef.com/cdn/shop/products/ZoluxLOFTCageForBirdsandCanariesSizeSB.jpg?v=1668320894
8,"MPS bird cage ""Diamond"" Orange","MPS bird cage ""Diamond"" Orange Stylish Italian made birdcageSizesLength: 52 cmWidth: 31 cmHight: 53 cmContains:Two Seeds FeedersOne Water feederTwo Plastic bird PerchOne Dangling Bird perch",MPS,165.0,//aleef.com/cdn/shop/products/8018084014310.jpg?v=1658653733
9,"Zolux
  LOFT Cage For Birds and Canaries Size M",Zolux LOFT Cage For Birds and Canaries Size MComes in two colours:Black & WhiteThe easy-to-assemble components of each model feature an original design.Dimensions:H: 124 cm / L: 44.5 cm / D: 28 cmContain:2 shelves1 tray2 wooden perches1 wooden swing2 plastic drinkers,Zolux,350.0,//aleef.com/cdn/shop/products/ZoluxLOFTCageForBirdsandCanariesSizeMW.jpg?v=1668321796
10,Zolux Wooden triangle Nest for Birds,"Zolux Wooden triangle Nest for Birds

Made from 100% wood, because most birds prefer to make their nests in houses made of natural and untreated wood materials.
the attached hook for made from strong metal
it offers a safe place for birds to build their nests, protecting them from weather conditions and predators.
During the winter season, they give birds a place to huddle together for warmth away from the cold air.
A birdhouse is usually fashioned to resemble a house.
Before you build a birdhouse, you need to understand what nesting birds need and how best to meet those requirements with the house you construct.

Size= 16.7x20.5x11 cmDiameter of the entrance= 3.5cmWood thickness= 10mm",Zolux,60.0,//aleef.com/cdn/shop/products/ZoluxWoodenTriangleNestforBirds.jpg?v=1679907582
