,Name,Description,Brand,Price,Image
0,Zolux Naomi Snuggling White Plush Blanket For Cat and Small Dogs,"Zolux Naomi Snuggling White Plush Blanket For Cat and Small Dogs

Beautiful high quality blanket for cat or small dog. The duvet is soft and pleasant.

Size: 

Width: 610 mm
Depth: 425 mm
Height: 20 mm",Zolux,72.0,//aleef.com/cdn/shop/products/ZoluxNaomiSnugglingWhitePlushBlanketForCatandSmallDogs.jpg?v=1671012343
1,Catidea Pet Playpen  Foldable Tent for Pets Pink,"Catidea Pet Playpen  Foldable Tent for Pets PinkAllows your pets to play in a contained area; 360-degree open-mesh view, and zippered side entrance. The pet playpen keeps your pets safely with you while at the park, beach, and inside or outside your home. Easy-open, pop-up assembly and ground stakes for a safe, secure play area.
Suitable for puppies, dogs, cats, rabbits and other animals. 
Durable Material with reinforced corners. Made of ultra-durable 600 Denier Nylon.
Lightweight yet strong, our playpen is foldable and can be used indoors or outdoors.
The zippered carrying bag can easily store your playpen and accessories, and the handles make transport even easier.
Zippered door provides easy in/out access for your pet. Zip the door shut to keep your pet safely inside.




Size
Dimensions


S
97 × 38 cm


M
92 × 60 cm


L
118 × 60 cm


XL
160 × 62 cm",Catidea,165.0,//aleef.com/cdn/shop/products/CatideaPetPlaypenFoldableTentforPetsBlue.jpg?v=1662980445
2,"Prevue Pet Rhinoceros Footstool and Pet Igloo for cats and dogs, Brown colour","Prevue Pet Rhinoceros Footstool and Pet Igloo for cats and dogs, Brown colour


Features a fun and cosy hideout, an ideal napping spot for your cat or small dog.
The luxurious grey faux-leather fabric matches any home décor
Solid pinewood legs ensure stability
can be used as a lounging bed for your pet, a place to rest your feet, or both
Measures 88.9cm Long, 45.7 cm Wide, and 40.6 cm High",Prevue Pet,365.0,//aleef.com/cdn/shop/products/PrevuePetRHINOCEROSFootstoolandPetIgloo.jpg?v=1662794597
3,MP Bergamo Dog House,"MP Bergamo Dog HouseOutdoor kennel, perfect shelter for your pet. Heat, cold and bad weather will no longer be a problem.Made of recycled plasticnon-toxic materialsFree of dangerous areas, such as edges, both inside and outside.The panels resist shocks, U.V.rays, bad weather, sun and cold.The grooved interior allows you to drain any liquids. Quick and easy to disassemble and clean.Size: 52cm L x  39cm W x 41cm H",MP Bergamo,172.0,//aleef.com/cdn/shop/products/MPBergamoDogHouse2.jpg?v=1665479441
4,Catidea Pet Playpen  Foldable Tent for Pets Red,"Catidea Pet Playpen  Foldable Tent for Pets RedAllows your pets to play in a contained area; 360-degree open-mesh view, and zippered side entrance. The pet playpen keeps your pets safely with you while at the park, beach, and inside or outside your home. Easy-open, pop-up assembly and ground stakes for a safe, secure play area.Suitable for puppies, dogs, cats, rabbits and other animals. Please read the description for more info

Durable Material with reinforced corners. Made of ultra-durable 600 Denier Nylon.
Lightweight yet strong, our playpen is foldable and can be used indoors or outdoors.
The zippered carrying bag can easily store your playpen and accessories, and the handles make transport even easier.
Zippered door provides easy in/out access for your pet. Zip the door shut to keep your pet safely inside.




Size
Dimensions


S
97 × 38 cm


M
92 × 60 cm


L
118 × 60 cm


XL
160 × 62 cm",Catidea,165.0,//aleef.com/cdn/shop/products/CatideaPetPlaypenFoldableTentforPetsRed.jpg?v=1662980950
5,Catidea Pet Playpen  Foldable Tent for Pets Pink,"Catidea Pet Playpen  Foldable Tent for Pets PinkAllows your pets to play in a contained area; 360-degree open-mesh view, and zippered side entrance. The pet playpen keeps your pets safely with you while at the park, beach, and inside or outside your home. Easy-open, pop-up assembly and ground stakes for a safe, secure play area.Suitable for puppies, dogs, cats, rabbits and other animals. Please read the description for more info

Durable Material with reinforced corners. Made of ultra-durable 600 Denier Nylon.
Lightweight yet strong, our playpen is foldable and can be used indoors or outdoors.
The zippered carrying bag can easily store your playpen and accessories, and the handles make transport even easier.
Zippered door provides easy in/out access for your pet. Zip the door shut to keep your pet safely inside.




Size
Dimensions


S
97 × 38 cm


M
92 × 60 cm


L
118 × 60 cm


XL
160 × 62 cm",Catidea,165.0,//aleef.com/cdn/shop/products/CatideaPetPlaypenFoldableTentforPetsPink.jpg?v=1662979863
6,Prevue Pet HOLLYWOOD CHAIR and IglooFor Cats and Dogs55cm High,"Prevue Pet HOLLYWOOD CHAIR and IglooFor Cats and Dogs55cm High A glamorous and cosy hideout for your cat or small dog.  The day bed features a “U” shaped back to make your cat feel more secure and less vulnerable to sneak attacks.  Upholstered in an elegant and durable blue-grey fabric, the large hideaway is the perfect spot for napping and quiet time.A glamorous and cosy hideout for your cat or small dog
Daybed features a “U” shaped back to make cats feel secure A large hideaway is perfect for nappingGreat for pets and kids
49cm in Diameter and 55cm High",Prevue Pet,275.0,//aleef.com/cdn/shop/products/PrevuePetHOLLYWOODCHAIRandIglooForCatsandDogs55cmHigh.jpg?v=1662882353
7,Fence cage 122.5x72.5x7.5cm,"- High quality- Easy to navigate- Durable and rust-resistantThe edges are round in shape to prevent injury to your pet",Feandrea,400.0,//aleef.com/cdn/shop/products/PPK04GY_ff9155cb-044a-4c3b-8543-fff787f6b167.jpg?v=1658656209
8,"Prevue Pet Dinosaur Footstool and Pet Igloo for cats and dogs, Green colour","Prevue Pet Dinosaur Footstool and Pet Igloo for cats and dogs, Green colour


Features a fun and cosy hideout, an ideal napping spot for your cat or small dog.
The luxurious grey faux-leather fabric matches any home décor
Solid pinewood legs ensure stability
can be used as a lounging bed for your pet, a place to rest your feet, or both
Measures 96.5 cm Long, 34.3 cm Wide, and 42.5  cm High",Prevue Pet,365.0,//aleef.com/cdn/shop/files/PrevuePetDinosaurFootstoolandPetIglooforcatsanddogs_Greencolour.jpg?v=1687703003
9,MPS Baraka Kennel for Dogs,"MPS Baraka Kennel for Dogs

Sheltered and stylishly designed kennel for your dogs.
Sturdy and compact.
Equipped with a ventilation grille for perfect ventilation.
On the bottom it has an opening for inserting an electric cable in the case of a heatable cushion.
It is resistant to water and mud.
Made of quality materials.

Size:

93×73×60 cm

For assembly instruction please watch the video",MPS,542.0,//aleef.com/cdn/shop/products/MPSBarakaKennelforDogs.jpg?v=1675499090
