,Name,Description,Brand,Price,Image
0,"Classic Pets Adult Dog Dry Food, Beef 15 Kg","Classic Pets Adult Dog Dry Food, Beef 15 Kg
Essential vitamins and minerals for your companion dogs. 
Ensure that your companion dogs receive the ideal nourishment in order for them to gain an optimal level of nutrition from their daily meals.
Essential Benefits
Omega 6 and Zinc- Enhance healthy skin and glossy coat
Vitamin E and Selenium - Boost overall healthy immune system
Calcium and Phosphorus - Build strong bones and teeth.
Crunchy Kibble - Reduce tartar and plaque
Optimal Level of Carbohydrate 
Support energy for daily activities.
Ingredients:
Corn, Soybean Meal, Poultry Meal, Cassava, Rice Bran, Poultry Fat, Vitamins and Minerals, Flavouring, Antioxidants
Guaranteed Analysis:
Protein (Min.) 19%
Fat (Min.) 8%
Fibre (Max.) 4%
Moisture (Max.) 10%",Classic Pets,178.0,//aleef.com/cdn/shop/products/ClassicPetsAdultDogDryFood_Beef15Kg.jpg?v=1668502099
1,JOSIDOG AGILO SPORT for Adult Dogs 18kg,JOSIDOG AGILO SPORT for Adult Dogs 18kgThe gluten-free formula of JosiDog Agilo Sport is suitable for sporting dogs with enhanced energy requirements. The valuable fatty acids promote healthy skin and a shiny coat.Complete feed for adult dogsComposition:dried poultry protein; rice; whole grain corn; poultry fat; beet fibre; hydrolysed poultry protein; dried salmon; minerals; hydrolysed vegetable protein; yeast; ground chicory root (natural source of inulin); dried meat from the New Zealand green-lipped mussel (Perna canaliculus);Made in Germany.,Josera,184.5,//aleef.com/cdn/shop/products/4032254745525.jpg?v=1658655194
2,"Classic Pets Adult Dog Dry Food, Chicken 15 Kg","Classic Pets Adult Dog Dry Food, Chicken 15 Kg
Essential vitamins and minerals for your companion dogs. 
Ensure that your companion dogs receive the ideal nourishment in order for them to gain an optimal level of nutrition from their daily meals.
Essential Benefits
Omega 6 and Zinc- Enhance healthy skin and glossy coat
Vitamin E and Selenium - Boost overall healthy immune system
Calcium and Phosphorus - Build strong bones and teeth.
Crunchy Kibble - Reduce tartar and plaque
Optimal Level of Carbohydrate 
Support energy for daily activities.
Ingredients:
Corn, Soybean Meal, Poultry Meal, Cassava, Rice Bran, Poultry Fat, Vitamins and Minerals, Flavouring, Antioxidants
Guaranteed Analysis:
Protein (Min.) 19%
Fat (Min.) 8%
Fibre (Max.) 4%
Moisture (Max.) 10%",Classic Pets,178.0,//aleef.com/cdn/shop/products/ClassicPetsAdultDogDryFood_Chicken15Kg.jpg?v=1669275291
3,Applaws Home Care plus fish with Salamon Dry food for Sterilized Cats,"🐾 Presenting Applaws Home Care Plus Fish with Salmon Dry Food for Sterilized Cats! Discover the ultimate meal tailored for your sterilized cat’s well-being – introducing Applaws Complete Dry Adult Cat Food Grain-Free Ocean Fish with Salmon. Crafted specifically for adult cats, this blend of natural goodness enriched with essential vitamins and minerals ensures optimal health and happiness for your feline friend.
🌟 Features & Benefits:


Premium Ingredients: We insist on using only the finest quality ingredients to provide your cat with the best nutrition.


Omega-3 Rich Fish: Natural Omega-3 sources promote a lustrous coat and healthy skin for your beloved pet.


Grain-Free Formula: Our recipe excludes grains, catering perfectly to your cat's dietary needs.


Complete & Balanced Nutrition: Carefully formulated to support sterilized cats’ overall health, delivering essential nutrients in every bite.


📦 Ingredients:
Applaws Home Care Plus Fish with Salmon Dry Food for Sterilized Cats is made from an exclusive blend of ingredients:

Fresh White Fish, Peas, Herring Meal, Chickpea Flour, Lentils, Fresh Salmon, Whitefish Meal, Flaxseed, Brewer’s Yeast, Salmon Oil, Alfalfa, Salmon Meal, Hydrolyzed Fish Protein, and more!

🔍 Additives and Nutritional Content:
This cat food boasts vital vitamins and minerals such as Vitamin A, Vitamin D3, Vitamin E, Selenium, Iodine, Iron, Copper, Manganese, Zinc, Taurine, and Omega-3 & Omega-6 fatty acids.
🍽️ Feeding Guide:



Cat Weight
Daily Serving




1.25 - 3kg
20 - 40g


3 - 5kg
40 - 60g


5 - 8kg
60 - 100g



Adapt the serving sizes to suit your cat's weight and activity level. Ensure your cherished companion has access to fresh water at all times for proper hydration.
🌊 Nothing Added, Nothing Hidden!
Elevate your sterilized cat's nutrition with Applaws Home Care Plus Fish with Salmon Dry Food. It's the optimal choice for a contented and healthy feline companion.
Aleef Store, THE destination for your pet care supplies.",Applaws,83.0,//aleef.com/cdn/shop/files/ApplawsHomeCareplusfishwithSalamonDryfoodforSterilizedCats.jpg?v=1704618474
4,Bavaro Work Dry food for active adult dogs,"Bavaro Work Dry food for active adult dogs

BAVARO WORK 26/12 is the ideal dog food for working dogs facing constant demands, such as hunting, sledging or rescue.
It provides your dog with high-quality protein and fat to fuel its performance and activity.
BAVARO WORK 26/12 is made with natural ingredients that are free of soy, sugar and genetically modified raw materials.
It has a high energy and protein content to support your dog’s muscles and endurance.
It also has essential vitamins and minerals to protect your dog’s health and well-being.
You can feed BAVARO WORK 26/12 to your adult dog according to their weight and activity level.
Just follow the feeding recommendations on the package or consult your veterinarian for advice.
Your dog will love the crunchy kibbles and the savoury flavour of BAVARO WORK 26/12, and you will love seeing them excel.
BAVARO WORK 26/12 is the best choice for working dogs that need performance and activity.

Try it today and see how your dog works!
COMPOSITIONcereals; meat and animal by-products; vegetable by-products; oils and fats; minerals.
ANALYTICAL CONSTITUENTS



Protein
26%


Fat content
12%


Crude fibre
2%


Crude ash
8%


Calcium
1.9%


Phosphorus
1.4%



NUTRITIONAL ADDITIVES PER KG



Vitamin A
13000 I.U.


Vitamin D3
1300 I.U.


Vitamin E
90mg



FEEDING RECOMMENDATION



Adult


Weight
less active
active


5 kg
90 g
120 g


10 kg
155 g
205 g


20 kg
260 g
349 g


30 kg
350 g
470 g


40 kg
440 g
585 g


60 kg
595 g
795 g


80 kg
735 g
985 g",BAVARO,200.0,//aleef.com/cdn/shop/products/BavaroWorkDryFoodforAdultDogs18kg.jpg?v=1667976718
5,BRAVERY CHICKEN PUPPY LARGE/MEDIUM BREEDS,"BRAVERY CHICKEN PUPPY LARGE/MEDIUM BREEDSDehydrated chicken meat, tapioca, poultry fat (Source of Ω-6 fatty acids), hydrolised chicken protein, peas, yeast and yeast extract-Saccharomyces cerevisiae (Source of mannanooligosaccharides – MOS and β-glucans), hydrolised chicken liver, sh oil (Source of Ω-3-EPA and DHA fatty acids), carob beans, dehydrated egg, potato protein, sweet potato, sweet beet pulp, inulin (soluble chicory ber, source of phospho-oligosaccharides – FOS), natural cellulose (source of insoluble ber), minerals, soluble dietetic ber extracted from Plantago ovata, essential oils (oregano, cinnamon, clove, thyme, rosemary, peppermint, green tea), hydrolysates from crusta- ceans (source of glucosamine), hydrolysates from cartílage (source of chondroitin), yucca, concentrate of lyophilised melon juice (rich in superoxide dismutase-SOD).",Bravery,98.0,//aleef.com/cdn/shop/products/BRAVERY-CHICKEN-PUPPY-LARGE-MEDIUM-BREEDS.jpg?v=1658655173
6,BRAVERY DOG LAMB ADULT LARGE/MEDIUM BREEDS,"BRAVERY DOG LAMB ADULT LARGE/MEDIUM BREEDSCompositionDehydrated lamb meat, tapioca, poultry fat (Source of Ω-6 fatty acids), peas, yeast and yeast extract-Saccharomyces cerevisiae (Source of mannanooligosaccharides – MOS and β-glucans), sweet potato, carob beans, sh oil (Source of Ω-3-EPA and DHA fatty acids), sugar beet pulp, inulin (soluble chicory ber, source of phospho-oligosaccharides – FOS), natural cellulose (source of insoluble ber), minerals, soluble dietetic ber extracted from Plantago ovata, essential oils (oregano, cinnamon, clove, thyme, rosemary, peppermint, green tea), hydrolysates from crustaceans (source of glucosamine), hydrolysates from cartílage (source of chondroitin), yucca, concentrate of lyophilised melon juice (rich in superoxide dismutase-SOD).",Bravery,88.2,//aleef.com/cdn/shop/products/8436538942253.jpg?v=1658655176
7,JosiDog Mini Complete dry food for adult small breeds,"JosiDog Mini Complete dry food for adult small breeds

Selected ingredients for healthy skin and a glossy coat.
With these very small kibble.
Gluten-free recipe gives them optimal nutrition.
78 % of the protein is animal protein.
Valuable fatty acids for healthy skin and a glossy coat.
No added soya, sugar or milk products
Free from artificial colourings, flavourings and preservatives.

COMPOSITION

whole grain corn; dried poultry protein; rice; beet fibre; poultry fat; dried duck protein; hydrolysed poultry protein; minerals; yeast; ground chicory root (natural source of inulin); dried protein from the New Zealand green-lipped mussel (Perna canaliculus);

Analytical constituents

protein 26.0 %
fat content 11.0 %
crude fibre 2.5 %
crude ash 6.7 %
calcium 1.50 %
phosphorus 1.00 %





FEEDING RECOMMENDATION معلومات التغذية


Weight - الوزن
from - من
to - الى


2 kg
50 g
70 g


4 kg
80 g
110 g


6 kg
90 g
130 g


8 kg
100 g
140 g


10 kg
120 g
180 g



The recommended amount of food is per pet per day",Josera,18.0,//aleef.com/cdn/shop/products/JosiDogMiniCompletedryfoodforadultsmallbreeds.jpg?v=1674885887
8,JosiDog Economy 15 kg,"Complete food for adult dogs with normal activity levelsFor all dog breeds and sizes71 % of the protein is animal proteinUncomplicated meal for every dayCrunchy to enjoy chewingNo added soya, sugar or milk productsFree from artificial colourings, flavourings and preservativesComplete feed for adult dogs",Josera,155.0,//aleef.com/cdn/shop/products/4032254745532.jpg?v=1658655191
9,Josera POULTRY-MENU dry food for dogs,"Josera POULTRY-MENU dry food for dogsBecause we know exactly what we want: Crisp kibble with selected ingredients and plenty of poultry at an unbeatable price. Providing our little explorers with everything they need, day after day.Offering a unique price/performance ratioFor all normally active, fully-grown dogsValuable fatty acids support healthy skin and shiny coatComposition :whole grain corn; dried poultry protein; rice; poultry fat; beet fibre; hydrolysed poultry protein; minerals;Analytical constituentsprotein    25.0 %fat content    13.0 %crude fibre    2.3 %crude ash    6.5 %calcium    1.45 %phosphorus    1.00 %",Josera,24.0,//aleef.com/cdn/shop/products/JOSERA-Poultry.jpg?v=1658655202
