,Name,Description,Brand,Price,Image
0,"Zolux Rubber Ball Toy for Dogs, Multiple colours","Zolux Rubber Ball Toy for DogsThese sound balls will irresistibly attract your dogThey are made of ultra-solid non-toxic rubber, to withstand the repeated assaults of your companionPleasantly scented with vanilla, they massage the gums and help reduce dental plaqueThese balls are available in several colors: green, blue and orangePlus it satisfies the chewing insticts for your dog",Zolux,23.0,//aleef.com/cdn/shop/products/ZoluxRubberBallToyforDogs_747d5242-0e41-4836-8b0a-bdb581d256ca.jpg?v=1667288546
1,زولكس لعبة الكرة المطاطية للكلاب حجم صغير ألوان متعدده,"زولكس لعبة الكرة المطاطية للكلاب


 هذه الكرات الصوتية سوف تجذب كلبك بشكل لا يقاوم
 وهي مصنوعة من المطاط فائق الصلابة وغير سام لتحمل اللعب بشكل متكرر
 معطرة بشكل لطيف بالفانيليا ، تقوم بتدليك اللثة وتساعد على تقليل ترسبات الأسنان
 هذه الكرات متوفرة بعدة ألوان: الأخضر والأزرق والبرتقالي
 و ايضا ترضي غرائز العض لدى الكلاب",ZOLUX,19.0,//aleef.com/cdn/shop/products/ZoluxRubberBallToyforDogs_485348ce-da0f-4c18-a260-0a690335c173.jpg?v=1662798567
2,"Zolux Chewing Ball Toy For Dogs, With rope 7.5 cm in multiple colors","Zolux Chewing Ball Toy For Dogs, With rope 7.5 cm in multiple colorsIt's the perfect toy for your dog in his free time .. It's also good for the health of his teeth because it stimulates him to chew plus it got feathers which also stimulate him to play.Available in 3 colours Green, Orange, and Blue.""",Zolux,40.0,//aleef.com/cdn/shop/products/ZoluxChewingBallToyForDogs.jpg?v=1666866489
3,Zolux Rubber 15 cm Bone-Shaped American Football Toy For Dogs,Zolux Rubber 15 cm Bone-Shaped American Football Toy For Dogs,ZOLUX,15.0,//aleef.com/cdn/shop/products/ZoluxRubber15cmBone-ShapedAmericanFootballToyForDogs.jpg?v=1662797324
4,ZOLUX  FOOTBALL TOY FOR DOGS,ZOLUX  FOOTBALL TOY FOR DOGS,ZOLUX,13.0,//aleef.com/cdn/shop/products/ZOLUXFOOTBALLTOYFORDOGS.jpg?v=1662797868
5,"Zolux Titan Rubber toy with a rope,  Yellow Colour For Dogs","Zolux Titan Rubber toy with a rope,  Yellow Colour For DogsExtremely resistant toy made of natural rubberThis material is not only durable but also friendly to the dog's teethThe specific shape allows you to use it as a dispenser of treats during games with the dogGrooves and protrusions on the surface help maintain the excellent oral hygiene of the dogIt is particularly resistant and can be used for both indoor and outdoor play",ZOLUX,30.0,//aleef.com/cdn/shop/products/ZoluxTitanRubbertoywitharopeYellowColourForDogs.jpg?v=1662797626
6,ZOLUX  FOOTBALL WITH 10CM ROPE  TOY FOR DOGS,ZOLUX  FOOTBALL WITH 10CM ROPE  TOY FOR DOGS,ZOLUX,28.0,//aleef.com/cdn/shop/products/ZOLUXFOOTBALLWITH10CMROPETOYFORDOGS.jpg?v=1662797831
7,Zolux Rubber 15 cm Bone-Shaped Football Toy For Dogs,,ZOLUX,15.0,//aleef.com/cdn/shop/products/ZoluxRubber15cmBone-ShapedFootballToyForDogs.jpg?v=1662797336
8,"Zolux Titan Rubber toy with a rope,  Red Colour For Dogs","Zolux Titan Rubber toy with a rope,  Red Colour For DogsExtremely resistant toy made of natural rubberThis material is not only durable but also friendly to the dog's teethThe specific shape allows you to use it as a dispenser of treats during games with the dogGrooves and protrusions on the surface help maintain the excellent oral hygiene of the dogIt is particularly resistant and can be used for both indoor and outdoor play",ZOLUX,30.0,//aleef.com/cdn/shop/products/ZoluxTitanRubbertoywitharopeRedColourForDogs.jpg?v=1662797235
9,Zolux Pop Stick Dog Toy 25cm,"Zolux Pop Stick Dog Toy 25cmideal for dogs who need to bite, chew and exercise.By its shape and colors , it will provide hours of entertainment for the animal",Zolux,46.2,//aleef.com/cdn/shop/products/3336024790793.jpg?v=1658654796
