,Name,Description,Brand,Price,Image
0,VERSELE-LAGA PRESTIGE MILLET YELLOW,"VERSELE-LAGA PRESTIGE MILLET YELLOWRio Spray Millet 100gSpray millet is a favorite treat for parakeets, canaries, medinas and other kinds of seed-eating cage birds. Similar to wild birds in nature, caged birds get great pleasure plucking the fresh grains from the panicles.",Versele Laga,24.0,//aleef.com/cdn/shop/products/VERSELELAGAPRESTIGEMILLETYELLOW2.jpg?v=1664088478
1,"ZuPreem Real Rewards Garden Mix Treats for Medium Birds, 170 g","ZuPreem Real Rewards Garden Mix Treats for Medium Birds, 170 g

A mix of carrots, peas, almonds and zucchini to reward those special moments you share with your pet.
Delicious treats as a reward and for those special bonding moments you share with your bird.
Feed up to 10% of your bird’s daily diet.

IngredientsDried carrots, Dried peas, Almonds, Dried zucchini
Guaranteed AnalysisCrude Protein, min 14.0%; Crude Fat, min 9.0%; Crude Fiber, max 6.0%; Moisture, max 13.0%",ZuPreem,25.0,//aleef.com/cdn/shop/products/ZuPreemRealRewardsGardenMixTreatsforMediumBirds_170g.jpg?v=1678349138
2,"ZuPreem Real Rewards Orchard Treats for Large Birds, 170 g","ZuPreem Real Rewards Tropical Mix Treats for Large Birds, 170 g

A mix of pineapple, papaya, Brazil nuts and coconut to provide reward occasions for those special moments you share with your bird.
Delicious treats as a reward and for those special bonding moments you share with your bird.
Feed up to 10% of your bird’s daily diet.

IngredientsDried pineapple, Dried papaya, Brazil nuts, Dried coconut, Citric acid (preservative), Sulfur dioxide (preservative), Yellow 5, Yellow 6
Guaranteed AnalysisCrude Protein, min 2.0%; Crude Fat, min 12.0%; Crude Fiber, max 8.0%; Moisture, max 15.0%",ZuPreem,25.0,//aleef.com/cdn/shop/products/ZuPreemRealRewardsTropicalMixTreatsforLargeBirds_170g.jpg?v=1678345737
3,"ZuPreem Real Rewards Orchard Treats for Large Birds, 170 g","ZuPreem Real Rewards Orchard Treats for Large Birds, 170 g

A mix of pistachios, apples, apricots and almonds to provide reward occasions for those special moments you share with your bird.
Delicious treats as a reward and for those special bonding moments you share with your bird.
Feed up to 10% of your bird’s daily diet.

IngredientsDried apricots, Dried apples, Peanuts, Almonds, Sulfur dioxide (preservative)
Guaranteed AnalysisCrude Protein, min 10.0%; Crude Fat, min 20.0%; Crude Fiber, max 8.0%; Moisture, max 20.0%",ZuPreem,25.0,//aleef.com/cdn/shop/products/ZuPreemRealRewardsOrchardTreatsforMediumBirds_170g.jpg?v=1678344085
4,Higgins Sunburst Gourmet Fruits to Nuts Treats for medium to large birds,"Higgins Sunburst Gourmet Fruits to Nuts Treats for medium to large birds

A delicious and healthy snack for your pet birds.
Suitable for parrots, macaws, cockatoos, and Conure and medium to large birds
Natural Treats for Birds are an assortment of fun, healthy, natural snack mixes that supplement your pet’s regular diet.
a blend of dried fruits, vegetables and assorted nuts that create a premium bird “trail mix”. Bananas, raisins, almonds, green peas and more all add variety to your pet’s daily diet.
They are enriched with vitamins, minerals, and antioxidants to support your bird’s well-being.
Boca Nuts for Parrots and Macaws is a blend of assorted, fancy, shelled nuts with premium dried fruits and more to add variety to your pet’s daily diet.
Weight: 140 g

Ingredients
Fruits:

Bananas, Papaya, Pineapple, Raisins, Safflower, Buckwheat, Oats, Soybeans, Corn, Walnuts, Apples, Almonds, Cashews, Coconut.

Nuts:

Pistachios, Green Peas, Pumpkin Seeds, Dehydrated Black Beans, Hazelnuts, Pine Nuts, Ground Corn, Soybean Meal, Corn Gluten Meal, Soybean Oil

Guaranteed Analysis

Crude Protein – Min. 12.0%
Crude Fat – Min. 22.0%
Crude Fiber – Max. 7.0%
Moisture – Max. 8.5%

Feeding Guidelines

can be fed in a separate treat dish or mixed with your pet’s daily food.
Discard any unused portion before feeding again.
Feed treats to not exceed 20% of your pet bird’s total daily food consumption. This helps ensure your pet receives the required nutrients from its regular diet.",Higgins,19.8,//aleef.com/cdn/shop/files/HigginsSunburstGourmetFruitstoNutsTreatsformediumtolargebirds.jpg?v=1690289212
5,Higgins Sunburst Gourmet Natural Boca Nuts Treats for Parrots & Macaw and Large Birds,"Higgins Sunburst Gourmet Natural Boca Nuts Treats for Parrots & Macaw and Large Birds

A delicious and healthy snack for your pet birds.
Suitable for parrots, macaws, cockatoos, and other large birds
Natural Treats for Birds are an assortment of fun, healthy, natural snack mixes that supplement your pet’s regular diet.
These natural bird snacks are made with almonds, cashews, pistachios, and dried fruits, some of the best Boca nuts for parrots and other large birds.
They are enriched with vitamins, minerals, and antioxidants to support your bird’s well-being.
Boca Nuts for Parrots and Macaws is a blend of assorted, fancy, shelled nuts with premium dried fruits and more to add variety to your pet’s daily diet.
Weight: 140 g

Ingredients

Peanuts, Almonds, Bananas, Pistachios, Pumpkin Seeds, Cashews, Raisins, Flaked Corn, Papaya, Pineapple, Walnuts, Brazil Nuts, Hazelnuts, Pecans.

Guaranteed Analysis

Crude Protein – Min. 14.2%
Crude Fat – Min. 30.0%
Crude Fiber – Max. 15.0%
Moisture – Max. 6.5%

Feeding Guidelines

can be fed in a separate treat dish or mixed with your pet’s daily food.
Discard any unused portion before feeding again.
Feed treats to not exceed 20% of your pet bird’s total daily food consumption. This helps ensure your pet receives the required nutrients from its regular diet.",Higgins,23.4,//aleef.com/cdn/shop/files/HigginsSunburstGourmetNaturalBocaNutsTreatsforParrots_amp_MacawandLargeBirds.jpg?v=1690206718
6,"Higgins Sunburst Gourmet blend of fruits, vegetables and nuts Food for Conure","Higgins Sunburst Gourmet blend of fruits, vegetables and nuts Food for Conure 

A premium, natural and delicious food and treat for your feathered friend.
This food is not just a regular seed mix, it’s a gourmet blend of fruits, vegetables, nuts, legumes, grains and more that will satisfy your macaw’s appetite and nutritional needs.
Enriched with DHA omega-3 fatty acids to support the immune system
Uses protected probiotics to ensure a higher amount of active, beneficial bacteria.
Sunburst Gourmet Blend Food & Treats for Macaw is fortified with vitamins, minerals and antioxidants to support your macaw’s health and well-being.
Sunburst Gourmet Blend Food & Treats for Macaw is also free of artificial colors, flavors and preservatives, so you can feed your macaw with confidence.
Whether you have a blue-and-gold macaw, a scarlet macaw, or any other type of macaw, you will love Sunburst Gourmet Blend Food & Treats for Macaw from Higgins.

Ingredients

Safflower, Sunflower Seeds, Peanuts, Corn, Buckwheat, Wheat, Ground Corn, Flaked Peas, Apricots, Bananas, Flaked Beans, Pumpkin Seeds, Almonds, Hazelnuts, Yellow Peas, Brown Rice, Soybean Meal, Mango, Papaya, Pineapple, Ground Wheat, Raisins, Dates, Carrots, Pecans, Pistachios, Walnuts, Oats, Red Peppers, Dehydrated Apples, Sugar, Brazil Nuts, Canola Oil (preserved with mixed tocopherols), Dicalcium Phosphate, Dried Egg Product.

Guaranteed AnalysisContains a source of live (viable) naturally-occurring microorganisms.

Crude Protein - Min. 12.0%
Crude Fat - Min. 16.0%
Crude Fiber - Max. 13.5%
Moisture - Max. 11.0%
Omega-3 Fatty Acids - Min. 0.40%
Docosahexaenoic Acid (DHA) - Min. 0.03%

Feeding Guidelines

Fill your pet bird’s food container with as much food as it will consume in a 24 hour period.
For macaws, cockatoos and large parrots, the portion may range between 1 cup and 1¼ cups of food per bird.
Adjust the portions to meet your bird’s specific dietary needs.
Supplement this diet with fresh fruits and vegetables.
Remove uneaten food and seed hulls and clean food dish before refilling with new food.
Always maintain fresh drinking water for your pet bird.

ALEEF STORE FOR ALL YOUR PET SUPPLIES
*Protected probiotics are live beneficial bacteria that are added to the food to improve the gut health of birds. They protect from environmental factors that can harm them, such as heat, oxygen, light and humidity. they also can help birds with digestion, immunity, infection prevention and weight management. They can also help restore the normal gut flora after stress, illness or antibiotic use",Higgins,86.0,//aleef.com/cdn/shop/files/HigginsSunburstGourmetblendoffruits_vegetablesandnutsFoodforMacaw.jpg?v=1690375754
7,Versele Laga Goldenfeast Bonita Nut Treats for Parrots & Macaw and large birds,"Versele Laga Goldenfeast Bonita Nut Treats for Parrots & Macaw and large birds

Premium bird food contains a rich blend of more than 25 varieties of nuts, seeds, fruits and veggies that will provide your feathered friend with essential nutrients and antioxidants.
Suitable for: Parrots, Macaws, Cockatoos, and large birds.
No Artificial Colors, Flavors, or Preservatives
Natural, No Synthetic Vitamins Added
No Sunflower Seeds
probiotics to support a healthy digestive system.
Whether you want to reward your bird for good behaviour, add some diversity to their diet, or show them some love, Versele Laga Goldenfeast PARADISE TREAT MIX is a perfect choice.
Order yours today and give your bird a taste of the exotic!

Ingredients:

Cashews, Oats, Walnuts, Cranberries, Buckwheat, Almonds, Sunflower Seeds, Rolled Oats, Raisins, Mango, Papaya, Flaked Corn, Coconut, Dehydrated Red Beans, Dehydrated Pinto Beans, Green Peas, Bananas, Pecans, Hazelnuts, Pistachios, Caraway Seeds, Dehydrated Black Beans, Roasted Garbanzo Beans, Fennel Seeds, Pumpkin Seeds, Beets, Anise Seeds, Pine Nuts.

Guaranteed Analysis

Crude Protein - Min. 12.5%
Crude Fat - Min. 22.0%
Crude Fiber - Max. 5.5%
Moisture - Max. 8.0%

Feeding Guidelines

Feed in a separate treat bowl or mix with your bird’s current food.
Remove uneaten food and clean food container before refilling with fresh food. Always maintain fresh drinking water for your pet bird.",Versele Laga,121.5,//aleef.com/cdn/shop/files/VerseleLagaGoldenfeastBonitaNutTreatsforParrots_Macawandlargebirds.jpg?v=1690113707
8,Versele Laga Goldenfeast Paradise Treats for Parrots & Macaw and large birds,"Versele Laga Goldenfeast Paradise Treats for Parrots & Macaw and large birds

Premium bird food contains a rich blend of more than 25 varieties of nuts, seeds, fruits and veggies that will provide your feathered friend with essential nutrients and antioxidants.
Suitable for: Parrots, Macaws, Cockatoos, and large birds.
No Artificial Colors, Flavors, or Preservatives
Natural, No Synthetic Vitamins Added
No Sunflower Seeds
probiotics to support a healthy digestive system.
Whether you want to reward your bird for good behaviour, add some diversity to their diet, or show them some love, Versele Laga Goldenfeast PARADISE TREAT MIX is a perfect choice.
Order yours today and give your bird a taste of the exotic!

Ingredients:

Safflower, Oats, Papaya, Peanuts, Flaked Corn, Coconut, Buckwheat, Bananas, Roasted Soybeans, Apricots, Cranberries, Pineapple, Green Peas, Almonds, Pecans, Cashews, Walnuts.

Guaranteed Analysis

Crude Protein - Min. 11.0%
Crude Fat - Min. 25.0%
Crude Fiber - Max. 6.5%
Moisture - Max. 9.0%

Feeding Guidelines

Feed in a separate treat bowl or mix with your bird’s current food.
Remove uneaten food and clean food container before refilling with fresh food. Always maintain fresh drinking water for your pet bird.",Versele Laga,108.0,//aleef.com/cdn/shop/files/VerseleLagaGoldenfeastParadiseTreatsforParrots_Macawandlargebirds.jpg?v=1690098915
9,Versel-Laga Exotic Fruit,"Versel-Laga Exotic FruitPremium grains, seeds & fruit mix: a real treat for parrotsIdeal fruit snack for parrots: grains and seeds with fruit chunksWith 35% fruit chunks, a.o. papaya, pineapple and apricotComposed in consultation with the scientific team of Loro Parque (Tenerife)",Versele Laga,48.0,//aleef.com/cdn/shop/products/5410340217818.jpg?v=1658653514
