,Name,Description,Brand,Price,Image
0,DogH2O & CatH2O Dental Care Tablets,"DogH2O & CatH2O Dental Care Tablets will provide improved daily oral hygiene while simply drinking waterEffectively protects against plaque & tartar build-up, for healthier gums & fights Bad breath. Bonus Calcium supplement for stronger teeth. See results in weeks and smell the difference!Slowly dissolve in drinking waterDesigned, formulated & made in AustraliaDesigned to work seamlessly with DogH2O water fountainEach pack contains 8 tablets, each tablet lasts about 4 days when used with the DogH2O water fountain",H2O,36.0,//aleef.com/cdn/shop/products/4897030554261.jpg?v=1658653523
1,"<tc>Stefanplast Airtight Pet Snack-box, 2.2L</tc>","Stefanplast Airtight Pet Snack-box, 2.2L

Equipped with a rubber airtight closing to stock up on food and keep it fresh and crispy.
Transparent material for easy checking of contents.
Refined design for a secure grip.

Size: 

15.5x10x19.5 cm
2.2 L",Stefanplast,40.0,//aleef.com/cdn/shop/products/StefanplastAirtightPetSnack-box_2.2L.jpg?v=1673853764
2,Cat H2O mini  Pet Water Fountain For Cats 1.2L,Cat H2O mini  Pet Water Fountain For Cats 1.2LVideos :Cat H2O miniQuick StartupPump Cleaning,H2O,82.0,//aleef.com/cdn/shop/files/CatH2OminiPetWaterFountainForCats1.2L.jpg?v=1698317274
3,"Zolux
  water fountain filter 2pcs",Zolux water fountain filter 2pcsJust switch the filter for a better water experience,Zolux,23.0,//aleef.com/cdn/shop/products/Zoluxwaterfountainfilter2pcs.jpg?v=1670400438
4,"اتش تو او نافورة ماء كهربائية للقطط والكلاب مع منتج العناية بالاسنان, 6 لتر","جميع القطط والكلاب تفضل الشرب من المياة المتحركة بدلاً من المياه الراكدة لأنهم يشعرون بطعم افضل عند الشرب منها لانها تحتوي على المزيد من الاوكسجين وهي ايضاً الطريقة المثالية لجعل قطتك ان تشرب المزيد من المياه   نافورة شرب تسع 6 لتر مع عدة مستويات للماء مصفاة للمياة لضمان نظافتها و صفائها تحتوي على اصابع تدعم العناية بالاسنان تذوب بالماء تمنع رائحة الفم الكريهة وتزود الأسنان بالكالسيوم وتحميهم من الترتر وتسهل عملية تنظيف الأسنان فلتر للماء سهلة التنظيف مضخة هادئة 220 فولت 
المقاسات : الطول 28 ، العرض 17 ، الارتفاع 26 سم",H2O,175.0,//aleef.com/cdn/shop/products/4897030554292.jpg?v=1658655771
5,Replacement Filter Pads 3 Pieces - DogH2O & CatH2O,"DogH2O & CatH2O Replacement filter pads include 3 months worth of filter pads, each filter pad includes sponge to filter out hair & debris and activated carbon to adsorb bad tastes& odour.We recommend changing it monthly to keep water filtered and fresh.",H2O,20.0,//aleef.com/cdn/shop/products/4897030554049.jpg?v=1658655791
6,CatH2O Fresh & Filtered Pet Water Fountain with Dental Care Tablet 2L,"CatH2O Fresh & Filtered Pet Water Fountain with Dental Care Tablet 2L

CatH2O Fresh & Filtered Pet Water Fountain with Dental Care Tablets
If your Cat has a choice, they will prefer to drink running water as their instinct tells them that running water is clean! As a bonus, running water is more oxygenated and creates a perfect way for your cat to drink more water, a key for better health.
CatH2O features many aspects that make a great fountain, it also includes a bonus Dental Care feature to help improve your Cat’s dental health.
How many of us actually brush our Cat's teeth?
 CatH2O comes with 1 tablets of Dental Care
 Slowly dissolve in drinking water
Designed, formulated & made in Australia


Features 

 Raised medium drinking area for cats.
 Surface skimmer aerates water & ensure crystal clear drinking surface, free from saliva or slime.
 Dental Care tablets by CatH2O.
 Comes with 1 piece of filter.
 Quiet & reliable pump by AA Aquarium, manufacturer of millions of high-quality water pumps and aquariums.
 Translucent bowl with visible water scale.
 Dishwasher friendly, disassembles in seconds without tools.
 2L (2.1 quart) ensures clean water all day long. Food grade & BPA free* housing.",H2O,115.0,//aleef.com/cdn/shop/products/DogH2OFresh_FilteredPetWaterFountainWithDentalCareGreen.jpg?v=1664702152
7,"Feline Go Water And Feeding Dispenser for cats, 2L","Feline Go Water And Feeding Dispenser for cats, 2L

Provide your cat with fresh and clean water at all times.
Save time and hassle from refilling the water bowl every day.
A convenient and practical solution for keeping your cat hydrated and healthy.
It features a large-capacity tank that can hold up to 2 litres of water, enough for several days of use.
The tank is made of transparent and durable plastic, so you can easily monitor the water level and quality.
The water dispenser has a gravity-fed design that ensures a constant flow of water to the bowl.
The bowl is made of stainless steel, which is resistant to rust, corrosion, and bacteria.
The bowl also has a non-slip base that prevents it from sliding or tipping over.
The bowl is detachable and easy to clean.

Size:

28.5×20×21.5 cm",Feline Go,20.0,//aleef.com/cdn/shop/products/FelineGoWaterAndFeedingDispenserforcats_2L.jpg?v=1692257767
8,"Stefanplast Bidone Speedy Food Container for Cats and Dogs, 23L","Stefanplast Bidone Speedy Food Container for Cats and Dogs, 8L
Stefanplast Airtight Pet Snack-box, 2.2L

Equipped with a rubber airtight closing to stock up on food and keep it fresh and crispy.
Transparent material for easy checking of contents.
Refined design for a secure grip.

Size: 

15.5x10x19.5 cm
2.2 L



Speedy is a plastic container for dry food biscuits with a fresh saver clip lid.
It is handy and easy to clean.

Size 

24x27x31 cm
8 L",Stefanplast,32.0,//aleef.com/cdn/shop/products/StefanplastBidoneSpeedyFoodContainerforCatsandDogs_8L.jpg?v=1674108563
9,Stefanplast Multi-reserve Chic Bowl Double for Cats and Dogs 2 L,"Stefanplast Multi-reserve Chic Bowl Double for Cats and Dogs 2 L

Dual use dispenser. For water or food as needed
The transparent dispenser makes it instantly visible when a refill is necessary.
It's easy to switch from one use to another with just a spin.
It is quick and easy to clean.
Integrated anti-slip tabs provide excellent stability.

Size

32 x 21 x 29 cm
2 Liters


Stefanplast Multi-reserve Chic Bowl Double for Cats and Dogs 2 L

With double use dispenser for water or food according to the needs
The transparent dispenser makes instantly visible when it’s necessary to refill it.
It is easy to switch from one use to the other just rotating it.
It is quick and easy to clean.
Integrated anti-slip tabs provide excellent stability.

Size: 

32x21x29 cm
2 L",Stefanplast,40.0,//aleef.com/cdn/shop/products/StefanplastMultireserveChicBowlDouble.jpg?v=1673768856
