,Name,Description,Brand,Price,Image
0,"Zolux Nutrimeal Premium Millet Stick Treats for Exotic Bird, 100g","Zolux Nutrimeal Premium Millet Stick Treats for Exotic Bird, 110g

Balanced treats
100% natural and vet-approved formula
No additives or added sugar
Rich in yellow millet 52% 
4% crushed sea shell for Digestive virtue

Composition:

Millet (including yellow millet 44%), wheat flour, rolled oats, oat groats, coconut, canary grass, and crushed seashells 4%.

Analytical constituents:

Crude fibre 6.79%.
protein 11.24%.
fat 10.36%.
ash 1.93%.

Feeding instructions:

1-2 per day, 
beside the daily feeding quantity",Zolux,12,//aleef.com/cdn/shop/products/ZoluxNutrimealPremiumMilletStickTreatsforExoticBird_100g.jpg?v=1681115483
1,Zolux Crunchy Stick Large Budgerigar Treats,"Crunchy Sticks are specially designed as a feed supplement for domestic birds.Made from natural ingredients bursting with vitaminsMade from recipes developed to meet specific needs of each species, they are enriched with two pet-pleasing ingredients.These healthy treats are guaranteed to have no dyes, no preservatives and no added sugars, and naturally maintain a healthy beak.They are packaged in bags that preserve freshness and quality, and keeps pests out.Each pack contains 2 sticks that each have a plastic hook so they can easily be hung on the bird’s cage!",Zolux,10,//aleef.com/cdn/shop/products/3336021371162.jpg?v=1658655734
2,"Zolux Crunchy Stick Parakeet, 85g","Zolux Crunchy Stick Parakeet, 85gCrunchy Sticks are specially designed as a feed supplement for domestic birds.Made from natural ingredients bursting with vitaminsMade from recipes developed to meet specific needs of each species, they are enriched with two pet-pleasing ingredients.These healthy treats are guaranteed to have no dyes, no preservatives and no added sugars, and naturally maintain a healthy beak.They are packaged in bags that preserve freshness and quality, and keeps pests out.Each pack contains 2 sticks that each have a plastic hook so they can easily be hung on the bird’s cage!",Zolux,10,//aleef.com/cdn/shop/products/ZoluxCrunchyStickParakeethoney.jpg?v=1667455041
3,زولكس مكافأة العصي المقرمشة لطيور الببغاء,"زولكس مكافأة العصي المقرمشة لطيور الببغاء
 صممت العصي خصيصاً كمكمل غذائي للطيور. مصنوعة من مكونات طبيعية مليئة بالفيتامينات. مصنوعة من مكونات مختارة بعناية لتلبي احتياج كل فصيلة. هذه المكافات صحية لاتحتوي على اصباغ او مواد حافظة او سكريات مضافة، للحفاظ على منقار صحي.كل علبة تحتوي على 2 من العصي بالإضافه الى خطاف بلاستيك بحيث يمكن بسهولة تعليقها في قفص الطيور!",Zolux,10,//aleef.com/cdn/shop/products/ZoluxCrunchySticksRewardForParrots.jpg?v=1664269685
4,"Zolux Nutrimeal Premium Red Millet Stick Treats for Parakeet and Budgie, 110g","Zolux Nutrimeal Premium Red Millet Stick Treats for Parakeet and Budgie, 110g

Balanced treats
100% natural and vet-approved formula
No additives or added sugar
Rich in sunflower 14% 
4% crushed sea shell for Digestive virtue

Composition:

Wheat, wheat flour, millet, sunflower seed 14%, oat groats, rolled oats, crushed seashells 4%, coconut, corn (maize), buckwheat, safflower seed, and linseed.

Analytical constituents:

fibre 5.60%.
protein 12.32%.
fat 6.41%.
ash 2.04%.

Feeding instructions:

1-2 per day, 
Along with the daily feeding quantity 
Store in a dry place (30°C), away from direct sunlight",Zolux,12,//aleef.com/cdn/shop/products/ZoluxNutrimealPremiumSunflowerStickTreatsforLargeParakeet_110g.jpg?v=1681205032
5,"Zolux Nutrimeal Premium Red Millet Stick Treats for Parakeet and Budgie, 110g","Zolux Nutrimeal Premium Red Millet Stick Treats for Parakeet and Budgie, 110g

Balanced treats
100% natural and vet-approved formula
No additives or added sugar
Rich in red millet 14% 
4% crushed sea shell for Digestive virtue

Composition:

Millet (including red millet 14%0), wheat flour, oat groats, rolled oats, coconut, crushed seashells 4%, canary grass, linseed.

Analytical constituents:

fibre 7.56%.
protein 11.63%.
fat 5.18%.
ash 2.04%.

Feeding instructions:

1-2 per day, 
Along with the daily feeding quantity 
Store in a dry place (30°C), away from direct sunlight",Zolux,12,//aleef.com/cdn/shop/products/ZoluxNutrimealPremiumRedMilletStickTreatsforParakeetandBudgie_110g.jpg?v=1681203667
6,Versele-Laga Prestige Sticks with Eggs,"Versele-Laga Prestige Sticks with EggsTwo oven-baked seed sticks for budgies, with a.o. eggs and oystershells. This egg feast on a stick will give your birds a lot of pleasure.",Versele Laga,13,//aleef.com/cdn/shop/products/60525a3cef42c554a459e9a892fead015eddf01c.jpg?v=1658656112
7,"Zolux Nutrimeal Premium Grass Stick and shells Treats for canary bird, 110g","Zolux Nutrimeal Premium Grass Stick and shells Treats for canary bird, 110g

Balanced treats
100% natural and vet-approved formula
No additives or added sugar
Rich in canary grass 25% 
4% crushed sea shell for Digestive virtue

Composition:

grass 25%, millet, wheat flour, agrimony seed, rolled oats, crushed seashells 4%, coconut, oat groats, linseed

Analytical constituents:

Crude fibre 7.02%.
protein 11.33%.
fat 10.37%.
ash 2.01%.

Feeding instructions:

1-2 per day, 
Along with the daily feeding quantity 
Store in a dry place (30°C), away from direct sunlight",Zolux,12,//aleef.com/cdn/shop/products/ZoluxNutrimealPremiumGrassandshellsStickTreatsforCanari_110g.jpg?v=1681117038
8,Versele-Laga Prestige Sticks For Canaries With Eggs and Cocunuts,"Versele-Laga Prestige Sticks For Canaries With Eggs and CocunutsTwo oven-baked seed sticks for canaries, with eggs and cocunuts. This egss and cocunuts feast on a stick will give your birds a lot of pleasure.",Versele Laga,13,//aleef.com/cdn/shop/products/61a8ce9e924e401c5a28d101f7aa617b5e2b3a07.jpg?v=1658656113
9,Zolux Crunchy Stick Canary Bird Treats,"Crunchy Sticks are specially designed as a feed supplement for domestic birds.Made from natural ingredients bursting with vitaminsMade from recipes developed to meet specific needs of each species, they are enriched with two pet-pleasing ingredients.These healthy treats are guaranteed to have no dyes, no preservatives and no added sugars, and naturally maintain a healthy beak.They are packaged in bags that preserve freshness and quality, and keeps pests out.Each pack contains 2 sticks that each have a plastic hook so they can easily be hung on the bird’s cage!",Zolux,10,//aleef.com/cdn/shop/products/ZoluxCrunchyStickCanaryBirdTreatscarr.jpg?v=1667802639
